
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 01:05:43 2026
Timers Off: Sun Aug  9 01:09:16 2026

Wall Time:      212.90 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.550u      0.217s      3.339w      1 calls
build grid                          :      3.267u      0.100s      2.829w      1 calls
post-process grid                   :      0.283u      0.117s      0.509w      1 calls
DFH: sparsity prep                  :      0.217u      0.017s      0.377w      1 calls
Libint2ERI::Libint2ERI              :      0.250u      0.033s      0.390w      3 calls
DFH: initialize()                   :     14.117u      1.300s     12.301w      1 calls
DFH: AO Construction                :      3.383u      0.050s      2.632w     34 calls
DFH: AO-Met. Contraction            :      8.483u      1.150s      7.852w     34 calls
HF: Form core H                     :      0.117u      0.017s      0.102w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.037w      1 calls
HF: Guess                           :      0.050u      0.017s      0.086w      1 calls
SAD Guess                           :      0.033u      0.017s      0.082w      1 calls
HF: Form G                          :    118.350u     22.733s    184.977w      9 calls
RV: Form V                          :    107.483u     14.517s    144.692w      9 calls
Properties                          :     56.083u     13.017s    107.967w  34947 calls
Functional                          :      2.600u      0.133s      2.570w  34947 calls
V_xc                                :     48.550u      1.100s     33.288w  34947 calls
JK: D                               :      0.000u      0.000s      0.044w      9 calls
JK: USO2AO                          :      0.083u      0.017s      0.114w      9 calls
JK: JK                              :     10.600u      8.200s     39.812w      9 calls
DFH: compute_JK()                   :     10.600u      8.200s     39.668w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     18 calls
DFH: compute_J                      :      1.233u      6.533s     30.169w     18 calls
DFH: compute_K                      :      9.367u      1.633s      9.445w     18 calls
JK: AO2USO                          :      0.150u      0.000s      0.117w      9 calls
HF: Form F                          :      0.000u      0.033s      0.048w      9 calls
HF: Form D                          :      0.000u      0.000s      0.009w      9 calls
HF: DIIS                            :      0.800u      0.633s      3.071w      8 calls
HF: Form C                          :      0.183u      0.033s      0.174w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.550u      0.217s      3.339w      1 calls
| build grid                        :      3.267u      0.100s      2.829w      1 calls
| post-process grid                 :      0.283u      0.117s      0.509w      1 calls
DFH: sparsity prep                  :      0.217u      0.017s      0.377w      1 calls
| Libint2ERI::Libint2ERI            :      0.133u      0.017s      0.313w      1 calls
DFH: initialize()                   :     14.117u      1.300s     12.301w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.017s      0.077w      2 calls
| DFH: AO Construction              :      3.383u      0.050s      2.632w     34 calls
| DFH: AO-Met. Contraction          :      8.483u      1.150s      7.852w     34 calls
HF: Form core H                     :      0.117u      0.017s      0.102w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.037w      1 calls
HF: Guess                           :      0.050u      0.017s      0.086w      1 calls
| SAD Guess                         :      0.033u      0.017s      0.082w      1 calls
HF: Form G                          :    118.350u     22.733s    184.977w      9 calls
| RV: Form V                        :    107.483u     14.517s    144.692w      9 calls
| | Properties                      :     56.083u     13.017s    107.967w  34947 calls
| | Functional                      :      2.600u      0.133s      2.570w  34947 calls
| | V_xc                            :     48.550u      1.100s     33.288w  34947 calls
| JK: D                             :      0.000u      0.000s      0.044w      9 calls
| JK: USO2AO                        :      0.083u      0.017s      0.114w      9 calls
| JK: JK                            :     10.600u      8.200s     39.812w      9 calls
| | DFH: compute_JK()               :     10.600u      8.200s     39.668w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     18 calls
| | | DFH: compute_J                :      1.233u      6.533s     30.169w     18 calls
| | | DFH: compute_K                :      9.367u      1.633s      9.445w     18 calls
| JK: AO2USO                        :      0.150u      0.000s      0.117w      9 calls
HF: Form F                          :      0.000u      0.033s      0.048w      9 calls
HF: Form D                          :      0.000u      0.000s      0.009w      9 calls
HF: DIIS                            :      0.800u      0.633s      3.071w      8 calls
HF: Form C                          :      0.183u      0.033s      0.174w      8 calls

**************************************************************************************
