
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 01:20:52 2026
Timers Off: Sun Aug  9 01:22:49 2026

Wall Time:      117.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.100u      0.033s      1.046w      1 calls
build grid                          :      0.950u      0.017s      0.898w      1 calls
post-process grid                   :      0.150u      0.017s      0.148w      1 calls
DFH: sparsity prep                  :      0.183u      0.017s      0.204w      1 calls
Libint2ERI::Libint2ERI              :      0.233u      0.017s      0.233w      3 calls
DFH: initialize()                   :      3.217u      0.367s      2.754w      1 calls
DFH: AO Construction                :      0.833u      0.050s      0.939w      1 calls
DFH: AO-Met. Contraction            :      1.650u      0.267s      1.218w      1 calls
HF: Form core H                     :      0.017u      0.017s      0.333w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.054w      1 calls
HF: Guess                           :      0.017u      0.100s      0.999w      1 calls
SAD Guess                           :      0.017u      0.083s      0.939w      1 calls
HF: Form G                          :     58.133u     15.350s     99.964w     10 calls
RV: Form V                          :     53.467u     12.933s     91.808w     10 calls
Properties                          :     24.833u     11.900s     70.211w  23970 calls
Functional                          :      1.800u      0.083s      1.944w  23970 calls
V_xc                                :     26.667u      0.783s     19.315w  23970 calls
JK: D                               :      0.000u      0.000s      0.024w     10 calls
JK: USO2AO                          :      0.033u      0.000s      0.095w     10 calls
JK: JK                              :      4.483u      2.383s      7.632w     10 calls
DFH: compute_JK()                   :      4.483u      2.367s      7.610w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.800u      1.967s      4.287w     10 calls
DFH: compute_K                      :      3.633u      0.300s      2.940w     10 calls
JK: AO2USO                          :      0.100u      0.033s      0.190w     10 calls
HF: Form F                          :      0.000u      0.000s      0.017w     10 calls
HF: Form D                          :      0.000u      0.000s      0.001w     10 calls
HF: DIIS                            :      0.367u      0.250s      2.363w      9 calls
HF: Form C                          :      0.067u      0.000s      0.090w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.100u      0.033s      1.046w      1 calls
| build grid                        :      0.950u      0.017s      0.898w      1 calls
| post-process grid                 :      0.150u      0.017s      0.148w      1 calls
DFH: sparsity prep                  :      0.183u      0.017s      0.204w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.017s      0.137w      1 calls
DFH: initialize()                   :      3.217u      0.367s      2.754w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.095w      2 calls
| DFH: AO Construction              :      0.833u      0.050s      0.939w      1 calls
| DFH: AO-Met. Contraction          :      1.650u      0.267s      1.218w      1 calls
HF: Form core H                     :      0.017u      0.017s      0.333w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.054w      1 calls
HF: Guess                           :      0.017u      0.100s      0.999w      1 calls
| SAD Guess                         :      0.017u      0.083s      0.939w      1 calls
HF: Form G                          :     58.133u     15.350s     99.964w     10 calls
| RV: Form V                        :     53.467u     12.933s     91.808w     10 calls
| | Properties                      :     24.833u     11.900s     70.211w  23970 calls
| | Functional                      :      1.800u      0.083s      1.944w  23970 calls
| | V_xc                            :     26.667u      0.783s     19.315w  23970 calls
| JK: D                             :      0.000u      0.000s      0.024w     10 calls
| JK: USO2AO                        :      0.033u      0.000s      0.095w     10 calls
| JK: JK                            :      4.483u      2.383s      7.632w     10 calls
| | DFH: compute_JK()               :      4.483u      2.367s      7.610w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.800u      1.967s      4.287w     10 calls
| | | DFH: compute_K                :      3.633u      0.300s      2.940w     10 calls
| JK: AO2USO                        :      0.100u      0.033s      0.190w     10 calls
HF: Form F                          :      0.000u      0.000s      0.017w     10 calls
HF: Form D                          :      0.000u      0.000s      0.001w     10 calls
HF: DIIS                            :      0.367u      0.250s      2.363w      9 calls
HF: Form C                          :      0.067u      0.000s      0.090w      9 calls

**************************************************************************************
