
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 01:27:08 2026
Timers Off: Sun Aug  9 01:28:42 2026

Wall Time:       94.12 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.033u      0.067s      0.852w      1 calls
build grid                          :      0.850u      0.033s      0.699w      1 calls
post-process grid                   :      0.183u      0.033s      0.153w      1 calls
DFH: sparsity prep                  :      0.200u      0.017s      0.128w      1 calls
Libint2ERI::Libint2ERI              :      0.233u      0.017s      0.152w      3 calls
DFH: initialize()                   :      5.583u      0.167s      3.814w      1 calls
DFH: AO Construction                :      1.683u      0.050s      1.106w      1 calls
DFH: AO-Met. Contraction            :      2.967u      0.083s      2.087w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.020w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.007w      1 calls
HF: Guess                           :      0.050u      0.017s      0.049w      1 calls
SAD Guess                           :      0.050u      0.017s      0.047w      1 calls
HF: Form G                          :     57.883u     14.017s     81.133w     10 calls
RV: Form V                          :     52.133u     11.833s     71.871w     10 calls
Properties                          :     23.367u     11.183s     51.859w  22090 calls
Functional                          :      2.217u      0.033s      1.731w  22090 calls
V_xc                                :     26.350u      0.400s     17.962w  22090 calls
JK: D                               :      0.017u      0.017s      0.004w     10 calls
JK: USO2AO                          :      0.017u      0.000s      0.074w     10 calls
JK: JK                              :      5.550u      2.150s      8.707w     10 calls
DFH: compute_JK()                   :      5.550u      2.133s      8.642w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.800u      1.950s      5.262w     10 calls
DFH: compute_K                      :      4.717u      0.150s      3.277w     10 calls
JK: AO2USO                          :      0.067u      0.000s      0.085w     10 calls
HF: Form F                          :      0.000u      0.000s      0.009w     10 calls
HF: Form D                          :      0.000u      0.000s      0.001w     10 calls
HF: DIIS                            :      0.917u      0.333s      2.578w      9 calls
HF: Form C                          :      0.133u      0.017s      0.152w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.033u      0.067s      0.852w      1 calls
| build grid                        :      0.850u      0.033s      0.699w      1 calls
| post-process grid                 :      0.183u      0.033s      0.153w      1 calls
DFH: sparsity prep                  :      0.200u      0.017s      0.128w      1 calls
| Libint2ERI::Libint2ERI            :      0.133u      0.017s      0.080w      1 calls
DFH: initialize()                   :      5.583u      0.167s      3.814w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.072w      2 calls
| DFH: AO Construction              :      1.683u      0.050s      1.106w      1 calls
| DFH: AO-Met. Contraction          :      2.967u      0.083s      2.087w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.020w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.007w      1 calls
HF: Guess                           :      0.050u      0.017s      0.049w      1 calls
| SAD Guess                         :      0.050u      0.017s      0.047w      1 calls
HF: Form G                          :     57.883u     14.017s     81.133w     10 calls
| RV: Form V                        :     52.133u     11.833s     71.871w     10 calls
| | Properties                      :     23.367u     11.183s     51.859w  22090 calls
| | Functional                      :      2.217u      0.033s      1.731w  22090 calls
| | V_xc                            :     26.350u      0.400s     17.962w  22090 calls
| JK: D                             :      0.017u      0.017s      0.004w     10 calls
| JK: USO2AO                        :      0.017u      0.000s      0.074w     10 calls
| JK: JK                            :      5.550u      2.150s      8.707w     10 calls
| | DFH: compute_JK()               :      5.550u      2.133s      8.642w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.800u      1.950s      5.262w     10 calls
| | | DFH: compute_K                :      4.717u      0.150s      3.277w     10 calls
| JK: AO2USO                        :      0.067u      0.000s      0.085w     10 calls
HF: Form F                          :      0.000u      0.000s      0.009w     10 calls
HF: Form D                          :      0.000u      0.000s      0.001w     10 calls
HF: DIIS                            :      0.917u      0.333s      2.578w      9 calls
HF: Form C                          :      0.133u      0.017s      0.152w      9 calls

**************************************************************************************
