
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:19:31 2026
Timers Off: Mon Aug 10 19:21:23 2026

Wall Time:      111.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     14.467u      0.050s      1.412w      1 calls
build grid                          :     14.100u      0.050s      1.183w      1 calls
post-process grid                   :      0.367u      0.000s      0.229w      1 calls
Libint2ERI::Libint2ERI              :      0.183u      0.017s      0.108w     10 calls
JK: (A|Q)^-1                        :     18.500u      0.750s      7.758w      1 calls
JK: (A|mn)                          :     18.250u      0.417s      1.659w      1 calls
JK: (Q|mn)                          :    122.500u      0.883s     11.498w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.850s      1.509w      1 calls
HF: Form core H                     :      0.433u      0.000s      0.037w      1 calls
HF: Form S/X                        :      0.233u      0.067s      0.122w      1 calls
HF: Guess                           :      0.083u      0.050s      0.043w      1 calls
SAD Guess                           :      0.083u      0.050s      0.042w      1 calls
HF: Form G                          :    899.900u     17.333s     82.461w     13 calls
RV: Form V                          :    433.833u      2.400s     37.164w     13 calls
Properties                          :    167.265p                          93561 calls
Functional                          :      8.350p                          93561 calls
V_xc                                :    120.273p                          93561 calls
JK: D                               :      0.100u      0.000s      0.013w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :    465.950u     14.933s     45.272w     13 calls
JK: (Q|mn) Read                     :      0.117u      7.283s      4.498w     26 calls
JK: J                               :      7.833u      0.700s      0.826w     26 calls
JK: J1                              :      4.383u      0.617s      0.473w     26 calls
JK: J2                              :      3.433u      0.083s      0.339w     26 calls
JK: K                               :    457.950u      5.667s     39.241w     26 calls
JK: K1                              :    217.833u      3.733s     18.442w     26 calls
JK: K2                              :    240.100u      1.933s     20.797w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.017u      0.000s      0.003w     13 calls
HF: Form D                          :      0.067u      0.017s      0.008w     13 calls
HF: DIIS                            :      2.250u      0.300s      0.818w     12 calls
HF: Form C                          :      5.067u      1.450s      2.452w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :     14.467u      0.050s      1.412w      1 calls
| build grid                        :     14.100u      0.050s      1.183w      1 calls
| post-process grid                 :      0.367u      0.000s      0.229w      1 calls
Libint2ERI::Libint2ERI              :      0.183u      0.000s      0.106w      2 calls
JK: (A|Q)^-1                        :     18.500u      0.750s      7.758w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.001w      8 calls
JK: (A|mn)                          :     18.250u      0.417s      1.659w      1 calls
JK: (Q|mn)                          :    122.500u      0.883s     11.498w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.850s      1.509w      1 calls
HF: Form core H                     :      0.433u      0.000s      0.037w      1 calls
HF: Form S/X                        :      0.233u      0.067s      0.122w      1 calls
HF: Guess                           :      0.083u      0.050s      0.043w      1 calls
| SAD Guess                         :      0.083u      0.050s      0.042w      1 calls
HF: Form G                          :    899.900u     17.333s     82.461w     13 calls
| RV: Form V                        :    433.833u      2.400s     37.164w     13 calls
| | Properties                      :    167.265p                          93561 calls
| | Functional                      :      8.350p                          93561 calls
| | V_xc                            :    120.273p                          93561 calls
| JK: D                             :      0.100u      0.000s      0.013w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     13 calls
| JK: JK                            :    465.950u     14.933s     45.272w     13 calls
| | JK: (Q|mn) Read                 :      0.117u      7.283s      4.498w     26 calls
| | JK: J                           :      7.833u      0.700s      0.826w     26 calls
| | | JK: J1                        :      4.383u      0.617s      0.473w     26 calls
| | | JK: J2                        :      3.433u      0.083s      0.339w     26 calls
| | JK: K                           :    457.950u      5.667s     39.241w     26 calls
| | | JK: K1                        :    217.833u      3.733s     18.442w     26 calls
| | | JK: K2                        :    240.100u      1.933s     20.797w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.017u      0.000s      0.003w     13 calls
HF: Form D                          :      0.067u      0.017s      0.008w     13 calls
HF: DIIS                            :      2.250u      0.300s      0.818w     12 calls
HF: Form C                          :      5.067u      1.450s      2.452w     12 calls

**************************************************************************************
