
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:23:32 2026
Timers Off: Mon Aug 10 19:24:26 2026

Wall Time:       53.79 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      7.500u      0.050s      0.811w      1 calls
build grid                          :      7.217u      0.050s      0.636w      1 calls
post-process grid                   :      0.283u      0.000s      0.175w      1 calls
DFH: sparsity prep                  :      0.100u      0.000s      0.054w      1 calls
Libint2ERI::Libint2ERI              :      0.117u      0.000s      0.073w     10 calls
DFH: initialize()                   :     65.150u      2.267s     10.441w      1 calls
DFH: AO Construction                :      9.200u      0.000s      1.742w     30 calls
DFH: AO-Met. Contraction            :     47.517u      2.000s      5.163w     30 calls
HF: Form core H                     :      0.417u      0.000s      0.046w      1 calls
HF: Form S/X                        :      0.267u      0.100s      0.126w      1 calls
HF: Guess                           :      0.100u      0.117s      0.075w      1 calls
SAD Guess                           :      0.100u      0.117s      0.074w      1 calls
HF: Form G                          :    448.250u      2.883s     38.778w     13 calls
RV: Form V                          :    286.983u      1.217s     24.490w     13 calls
Properties                          :    111.390p                          73008 calls
Functional                          :      6.007p                          73008 calls
V_xc                                :     77.888p                          73008 calls
JK: D                               :      0.083u      0.000s      0.007w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     13 calls
JK: JK                              :    161.167u      1.650s     14.269w     13 calls
DFH: compute_JK()                   :    161.167u      1.650s     14.268w     13 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     26 calls
DFH: compute_J                      :      7.050u      0.050s      0.559w     26 calls
DFH: compute_K                      :    153.800u      0.733s     13.018w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.017s      0.002w     13 calls
HF: Form D                          :      0.000u      0.000s      0.004w     13 calls
HF: DIIS                            :      1.400u      0.183s      0.604w     12 calls
HF: Form C                          :      2.767u      1.050s      1.411w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      7.500u      0.050s      0.811w      1 calls
| build grid                        :      7.217u      0.050s      0.636w      1 calls
| post-process grid                 :      0.283u      0.000s      0.175w      1 calls
DFH: sparsity prep                  :      0.100u      0.000s      0.054w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.037w      1 calls
DFH: initialize()                   :     65.150u      2.267s     10.441w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.037w      9 calls
| DFH: AO Construction              :      9.200u      0.000s      1.742w     30 calls
| DFH: AO-Met. Contraction          :     47.517u      2.000s      5.163w     30 calls
HF: Form core H                     :      0.417u      0.000s      0.046w      1 calls
HF: Form S/X                        :      0.267u      0.100s      0.126w      1 calls
HF: Guess                           :      0.100u      0.117s      0.075w      1 calls
| SAD Guess                         :      0.100u      0.117s      0.074w      1 calls
HF: Form G                          :    448.250u      2.883s     38.778w     13 calls
| RV: Form V                        :    286.983u      1.217s     24.490w     13 calls
| | Properties                      :    111.390p                          73008 calls
| | Functional                      :      6.007p                          73008 calls
| | V_xc                            :     77.888p                          73008 calls
| JK: D                             :      0.083u      0.000s      0.007w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     13 calls
| JK: JK                            :    161.167u      1.650s     14.269w     13 calls
| | DFH: compute_JK()               :    161.167u      1.650s     14.268w     13 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     26 calls
| | | DFH: compute_J                :      7.050u      0.050s      0.559w     26 calls
| | | DFH: compute_K                :    153.800u      0.733s     13.018w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.017s      0.002w     13 calls
HF: Form D                          :      0.000u      0.000s      0.004w     13 calls
HF: DIIS                            :      1.400u      0.183s      0.604w     12 calls
HF: Form C                          :      2.767u      1.050s      1.411w     12 calls

**************************************************************************************
