
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:46:03 2026
Timers Off: Mon Aug 10 20:06:09 2026

Wall Time:     1205.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     64.600u      0.100s      5.748w      1 calls
build grid                          :     63.533u      0.083s      5.093w      1 calls
post-process grid                   :      1.067u      0.017s      0.655w      1 calls
Libint2ERI::Libint2ERI              :      0.300u      0.017s      0.176w     10 calls
JK: (A|Q)^-1                        :     39.183u      6.350s     14.752w      1 calls
JK: (A|mn)                          :     31.733u      0.567s      2.465w      2 calls
JK: (Q|mn)                          :    196.683u      0.267s     16.810w      2 calls
JK: (Q|mn) Write                    :      0.017u      2.550s      2.967w      2 calls
HF: Form core H                     :      1.133u      0.000s      0.094w      1 calls
HF: Form S/X                        :      0.550u      0.100s      0.225w      1 calls
HF: Guess                           :      0.133u      0.050s      0.039w      1 calls
SAD Guess                           :      0.133u      0.050s      0.038w      1 calls
HF: Form G                          :   1864.333u     37.267s   1154.157w     12 calls
RV: Form V                          :    851.667u      5.083s   1051.481w     12 calls
Properties                          :   3266.488p                         132168 calls
Functional                          :    988.637p                         132168 calls
V_xc                                :   4155.931p                         132168 calls
JK: D                               :      0.233u      0.000s      0.025w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :   1012.400u     32.150s    102.629w     12 calls
JK: (Q|mn) Read                     :      0.283u     18.900s     13.388w     48 calls
JK: J                               :     12.933u      1.383s      1.651w     48 calls
JK: J1                              :      6.617u      1.233s      0.984w     48 calls
JK: J2                              :      6.217u      0.133s      0.626w     48 calls
JK: K                               :    999.150u     10.433s     86.714w     48 calls
JK: K1                              :    430.150u      5.833s     36.806w     48 calls
JK: K2                              :    569.000u      4.583s     49.900w     48 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.050u      0.000s      0.008w     12 calls
HF: Form D                          :      0.117u      0.017s      0.011w     12 calls
HF: DIIS                            :      3.700u      0.417s      0.930w     11 calls
HF: Form C                          :      9.733u      1.767s      4.348w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :     64.600u      0.100s      5.748w      1 calls
| build grid                        :     63.533u      0.083s      5.093w      1 calls
| post-process grid                 :      1.067u      0.017s      0.655w      1 calls
Libint2ERI::Libint2ERI              :      0.300u      0.017s      0.175w      2 calls
JK: (A|Q)^-1                        :     39.183u      6.350s     14.752w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      8 calls
JK: (A|mn)                          :     31.733u      0.567s      2.465w      2 calls
JK: (Q|mn)                          :    196.683u      0.267s     16.810w      2 calls
JK: (Q|mn) Write                    :      0.017u      2.550s      2.967w      2 calls
HF: Form core H                     :      1.133u      0.000s      0.094w      1 calls
HF: Form S/X                        :      0.550u      0.100s      0.225w      1 calls
HF: Guess                           :      0.133u      0.050s      0.039w      1 calls
| SAD Guess                         :      0.133u      0.050s      0.038w      1 calls
HF: Form G                          :   1864.333u     37.267s   1154.157w     12 calls
| RV: Form V                        :    851.667u      5.083s   1051.481w     12 calls
| | Properties                      :   3266.488p                         132168 calls
| | Functional                      :    988.637p                         132168 calls
| | V_xc                            :   4155.931p                         132168 calls
| JK: D                             :      0.233u      0.000s      0.025w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :   1012.400u     32.150s    102.629w     12 calls
| | JK: (Q|mn) Read                 :      0.283u     18.900s     13.388w     48 calls
| | JK: J                           :     12.933u      1.383s      1.651w     48 calls
| | | JK: J1                        :      6.617u      1.233s      0.984w     48 calls
| | | JK: J2                        :      6.217u      0.133s      0.626w     48 calls
| | JK: K                           :    999.150u     10.433s     86.714w     48 calls
| | | JK: K1                        :    430.150u      5.833s     36.806w     48 calls
| | | JK: K2                        :    569.000u      4.583s     49.900w     48 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.050u      0.000s      0.008w     12 calls
HF: Form D                          :      0.117u      0.017s      0.011w     12 calls
HF: DIIS                            :      3.700u      0.417s      0.930w     11 calls
HF: Form C                          :      9.733u      1.767s      4.348w     11 calls

**************************************************************************************
