
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 03:31:35 2026
Timers Off: Sun Aug  9 03:32:20 2026

Wall Time:       44.70 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.300u      0.017s      0.291w      1 calls
build grid                          :      2.150u      0.000s      0.194w      1 calls
post-process grid                   :      0.150u      0.017s      0.097w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.118w      1 calls
Libint2ERI::Libint2ERI              :      0.383u      0.017s      0.232w     11 calls
JK: (A|Q)^-1                        :      1.983u      0.350s      0.748w      1 calls
JK: (A|mn)                          :      5.333u      0.150s      0.413w      1 calls
JK: (Q|mn)                          :     32.300u      0.050s      2.594w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.233s      0.138w      1 calls
HF: Form core H                     :      0.183u      0.000s      0.019w      1 calls
HF: Form S/X                        :      0.233u      0.067s      0.102w      1 calls
HF: Guess                           :      0.083u      0.050s      0.037w      1 calls
SAD Guess                           :      0.083u      0.050s      0.036w      1 calls
HF: Form G                          :    441.500u      5.417s     35.985w     13 calls
RV: Form V                          :    309.233u      0.467s     23.338w     13 calls
Properties                          :     97.635p                          51337 calls
Functional                          :      3.102p                          51337 calls
V_xc                                :     85.712p                          51337 calls
JK: D                               :      0.033u      0.000s      0.004w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :    132.217u      4.950s     12.634w     13 calls
JK: (Q|mn) Read                     :      0.017u      3.683s      2.239w     26 calls
JK: J                               :      4.250u      0.033s      0.389w     26 calls
JK: J1                              :      2.167u      0.033s      0.195w     26 calls
JK: J2                              :      2.050u      0.000s      0.181w     26 calls
JK: K                               :    127.900u      0.833s      9.785w     26 calls
JK: K1                              :     86.317u      0.767s      6.619w     26 calls
JK: K2                              :     41.567u      0.067s      3.164w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.003w     13 calls
HF: Form D                          :      0.017u      0.000s      0.003w     13 calls
HF: DIIS                            :      1.650u      0.233s      0.500w     12 calls
HF: Form C                          :      3.817u      1.050s      1.895w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.300u      0.017s      0.291w      1 calls
| build grid                        :      2.150u      0.000s      0.194w      1 calls
| post-process grid                 :      0.150u      0.017s      0.097w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.118w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.078w      1 calls
Libint2ERI::Libint2ERI              :      0.267u      0.000s      0.152w      2 calls
JK: (A|Q)^-1                        :      1.983u      0.350s      0.748w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.001w      8 calls
JK: (A|mn)                          :      5.333u      0.150s      0.413w      1 calls
JK: (Q|mn)                          :     32.300u      0.050s      2.594w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.233s      0.138w      1 calls
HF: Form core H                     :      0.183u      0.000s      0.019w      1 calls
HF: Form S/X                        :      0.233u      0.067s      0.102w      1 calls
HF: Guess                           :      0.083u      0.050s      0.037w      1 calls
| SAD Guess                         :      0.083u      0.050s      0.036w      1 calls
HF: Form G                          :    441.500u      5.417s     35.985w     13 calls
| RV: Form V                        :    309.233u      0.467s     23.338w     13 calls
| | Properties                      :     97.635p                          51337 calls
| | Functional                      :      3.102p                          51337 calls
| | V_xc                            :     85.712p                          51337 calls
| JK: D                             :      0.033u      0.000s      0.004w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     13 calls
| JK: JK                            :    132.217u      4.950s     12.634w     13 calls
| | JK: (Q|mn) Read                 :      0.017u      3.683s      2.239w     26 calls
| | JK: J                           :      4.250u      0.033s      0.389w     26 calls
| | | JK: J1                        :      2.167u      0.033s      0.195w     26 calls
| | | JK: J2                        :      2.050u      0.000s      0.181w     26 calls
| | JK: K                           :    127.900u      0.833s      9.785w     26 calls
| | | JK: K1                        :     86.317u      0.767s      6.619w     26 calls
| | | JK: K2                        :     41.567u      0.067s      3.164w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.003w     13 calls
HF: Form D                          :      0.017u      0.000s      0.003w     13 calls
HF: DIIS                            :      1.650u      0.233s      0.500w     12 calls
HF: Form C                          :      3.817u      1.050s      1.895w     12 calls

**************************************************************************************
