
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 03:41:50 2026
Timers Off: Sun Aug  9 04:05:06 2026

Wall Time:     1397.49 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     14.067u      0.050s      1.367w      1 calls
build grid                          :     13.683u      0.033s      1.129w      1 calls
post-process grid                   :      0.383u      0.017s      0.238w      1 calls
Libint2ERI::Libint2ERI              :      0.983u      0.000s      0.596w     10 calls
JK: (A|Q)^-1                        :     15.700u      8.900s      6.182w      1 calls
JK: (A|mn)                          :     33.717u      0.300s      2.596w      4 calls
JK: (Q|mn)                          :    355.200u      0.533s     27.431w      4 calls
JK: (Q|mn) Write                    :      0.000u      9.200s      6.120w      4 calls
HF: Form core H                     :      1.083u      0.017s      0.105w      1 calls
HF: Form S/X                        :      1.583u      0.183s      0.539w      1 calls
HF: Guess                           :      0.350u      0.067s      0.075w      1 calls
SAD Guess                           :      0.350u      0.067s      0.072w      1 calls
HF: Form G                          :   3736.117u     70.900s   1331.185w     13 calls
RV: Form V                          :   1640.517u     10.133s    145.351w     13 calls
Properties                          :    615.800p                          93821 calls
Functional                          :      9.609p                          93821 calls
V_xc                                :    536.258p                          93821 calls
JK: D                               :      0.483u      0.017s      0.058w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     13 calls
JK: JK                              :   2094.933u     60.683s   1185.733w     13 calls
JK: (Q|mn) Read                     :      0.400u     43.417s     33.643w     66 calls
JK: J                               :     24.517u      0.517s      2.330w     66 calls
JK: J1                              :     13.033u      0.417s      1.187w     66 calls
JK: J2                              :     11.250u      0.100s      1.024w     66 calls
JK: K                               :   2069.900u     14.833s   1148.449w     66 calls
JK: K1                              :    860.883u      6.283s   1040.366w     66 calls
JK: K2                              :   1209.017u      8.533s    108.066w     66 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.100u      0.017s      0.018w     13 calls
HF: Form D                          :      0.217u      0.000s      0.022w     13 calls
HF: DIIS                            :     12.800u      0.900s      2.405w     12 calls
HF: Form C                          :     31.517u      3.367s     12.111w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :     14.067u      0.050s      1.367w      1 calls
| build grid                        :     13.683u      0.033s      1.129w      1 calls
| post-process grid                 :      0.383u      0.017s      0.238w      1 calls
Libint2ERI::Libint2ERI              :      0.983u      0.000s      0.594w      2 calls
JK: (A|Q)^-1                        :     15.700u      8.900s      6.182w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :     33.717u      0.300s      2.596w      4 calls
JK: (Q|mn)                          :    355.200u      0.533s     27.431w      4 calls
JK: (Q|mn) Write                    :      0.000u      9.200s      6.120w      4 calls
HF: Form core H                     :      1.083u      0.017s      0.105w      1 calls
HF: Form S/X                        :      1.583u      0.183s      0.539w      1 calls
HF: Guess                           :      0.350u      0.067s      0.075w      1 calls
| SAD Guess                         :      0.350u      0.067s      0.072w      1 calls
HF: Form G                          :   3736.117u     70.900s   1331.185w     13 calls
| RV: Form V                        :   1640.517u     10.133s    145.351w     13 calls
| | Properties                      :    615.800p                          93821 calls
| | Functional                      :      9.609p                          93821 calls
| | V_xc                            :    536.258p                          93821 calls
| JK: D                             :      0.483u      0.017s      0.058w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     13 calls
| JK: JK                            :   2094.933u     60.683s   1185.733w     13 calls
| | JK: (Q|mn) Read                 :      0.400u     43.417s     33.643w     66 calls
| | JK: J                           :     24.517u      0.517s      2.330w     66 calls
| | | JK: J1                        :     13.033u      0.417s      1.187w     66 calls
| | | JK: J2                        :     11.250u      0.100s      1.024w     66 calls
| | JK: K                           :   2069.900u     14.833s   1148.449w     66 calls
| | | JK: K1                        :    860.883u      6.283s   1040.366w     66 calls
| | | JK: K2                        :   1209.017u      8.533s    108.066w     66 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.100u      0.017s      0.018w     13 calls
HF: Form D                          :      0.217u      0.000s      0.022w     13 calls
HF: DIIS                            :     12.800u      0.900s      2.405w     12 calls
HF: Form C                          :     31.517u      3.367s     12.111w     12 calls

**************************************************************************************
