
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 04:09:52 2026
Timers Off: Sun Aug  9 04:14:12 2026

Wall Time:      260.19 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     12.633u      0.050s      1.348w      1 calls
build grid                          :     12.133u      0.033s      1.045w      1 calls
post-process grid                   :      0.500u      0.017s      0.303w      1 calls
Libint2ERI::Libint2ERI              :      0.883u      0.017s      0.521w     10 calls
JK: (A|Q)^-1                        :     13.500u      2.900s      5.816w      1 calls
JK: (A|mn)                          :     32.300u      0.550s      2.792w      3 calls
JK: (Q|mn)                          :    272.500u      1.583s     25.250w      3 calls
JK: (Q|mn) Write                    :      0.050u      3.767s      3.352w      3 calls
HF: Form core H                     :      0.750u      0.017s      0.088w      1 calls
HF: Form S/X                        :      1.050u      0.133s      0.382w      1 calls
HF: Guess                           :      0.200u      0.033s      0.041w      1 calls
SAD Guess                           :      0.200u      0.033s      0.039w      1 calls
HF: Form G                          :   2198.783u     38.983s    206.900w     13 calls
RV: Form V                          :   1105.300u      7.067s     97.075w     13 calls
Properties                          :    415.356p                          82524 calls
Functional                          :      8.305p                          82524 calls
V_xc                                :    351.608p                          82524 calls
JK: D                               :      0.283u      0.017s      0.036w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w     13 calls
JK: JK                              :   1092.983u     31.883s    109.751w     13 calls
JK: (Q|mn) Read                     :      0.250u     18.467s     11.624w     40 calls
JK: J                               :     15.383u      0.083s      1.383w     40 calls
JK: J1                              :      8.133u      0.083s      0.687w     40 calls
JK: J2                              :      7.150u      0.000s      0.636w     40 calls
JK: K                               :   1077.283u      7.783s     93.205w     40 calls
JK: K1                              :    504.700u      4.767s     41.844w     40 calls
JK: K2                              :    572.567u      3.000s     51.351w     40 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.083u      0.000s      0.015w     13 calls
HF: Form D                          :      0.100u      0.017s      0.014w     13 calls
HF: DIIS                            :      6.617u      0.567s      1.352w     12 calls
HF: Form C                          :     18.983u      2.450s      7.715w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :     12.633u      0.050s      1.348w      1 calls
| build grid                        :     12.133u      0.033s      1.045w      1 calls
| post-process grid                 :      0.500u      0.017s      0.303w      1 calls
Libint2ERI::Libint2ERI              :      0.867u      0.017s      0.519w      2 calls
JK: (A|Q)^-1                        :     13.500u      2.900s      5.816w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.002w      8 calls
JK: (A|mn)                          :     32.300u      0.550s      2.792w      3 calls
JK: (Q|mn)                          :    272.500u      1.583s     25.250w      3 calls
JK: (Q|mn) Write                    :      0.050u      3.767s      3.352w      3 calls
HF: Form core H                     :      0.750u      0.017s      0.088w      1 calls
HF: Form S/X                        :      1.050u      0.133s      0.382w      1 calls
HF: Guess                           :      0.200u      0.033s      0.041w      1 calls
| SAD Guess                         :      0.200u      0.033s      0.039w      1 calls
HF: Form G                          :   2198.783u     38.983s    206.900w     13 calls
| RV: Form V                        :   1105.300u      7.067s     97.075w     13 calls
| | Properties                      :    415.356p                          82524 calls
| | Functional                      :      8.305p                          82524 calls
| | V_xc                            :    351.608p                          82524 calls
| JK: D                             :      0.283u      0.017s      0.036w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w     13 calls
| JK: JK                            :   1092.983u     31.883s    109.751w     13 calls
| | JK: (Q|mn) Read                 :      0.250u     18.467s     11.624w     40 calls
| | JK: J                           :     15.383u      0.083s      1.383w     40 calls
| | | JK: J1                        :      8.133u      0.083s      0.687w     40 calls
| | | JK: J2                        :      7.150u      0.000s      0.636w     40 calls
| | JK: K                           :   1077.283u      7.783s     93.205w     40 calls
| | | JK: K1                        :    504.700u      4.767s     41.844w     40 calls
| | | JK: K2                        :    572.567u      3.000s     51.351w     40 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.083u      0.000s      0.015w     13 calls
HF: Form D                          :      0.100u      0.017s      0.014w     13 calls
HF: DIIS                            :      6.617u      0.567s      1.352w     12 calls
HF: Form C                          :     18.983u      2.450s      7.715w     12 calls

**************************************************************************************
