
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 12:50:18 2026
Timers Off: Sun Aug  9 12:51:23 2026

Wall Time:       64.65 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.067u      0.050s      0.491w      1 calls
build grid                          :      3.850u      0.033s      0.359w      1 calls
post-process grid                   :      0.217u      0.017s      0.132w      1 calls
DFH: sparsity prep                  :      0.167u      0.000s      0.099w      1 calls
Libint2ERI::Libint2ERI              :      0.317u      0.000s      0.194w     11 calls
JK: (A|Q)^-1                        :      2.417u      0.400s      0.805w      1 calls
JK: (A|mn)                          :      6.700u      0.183s      0.546w      1 calls
JK: (Q|mn)                          :     40.250u      0.283s      3.658w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.250s      0.158w      1 calls
HF: Form core H                     :      0.283u      0.000s      0.026w      1 calls
HF: Form S/X                        :      0.267u      0.083s      0.128w      1 calls
HF: Guess                           :      0.083u      0.033s      0.033w      1 calls
SAD Guess                           :      0.067u      0.033s      0.032w      1 calls
HF: Form G                          :    610.867u      8.750s     54.283w     12 calls
RV: Form V                          :    482.100u      2.767s     40.946w     12 calls
Properties                          :    172.986p                          56592 calls
Functional                          :      4.622p                          56592 calls
V_xc                                :    149.471p                          56592 calls
JK: D                               :      0.033u      0.000s      0.006w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     12 calls
JK: JK                              :    128.733u      5.983s     13.323w     12 calls
JK: (Q|mn) Read                     :      0.033u      4.050s      2.495w     24 calls
JK: J                               :      4.217u      0.183s      0.410w     24 calls
JK: J1                              :      2.300u      0.183s      0.212w     24 calls
JK: J2                              :      1.900u      0.000s      0.185w     24 calls
JK: K                               :    124.417u      1.233s     10.079w     24 calls
JK: K1                              :     82.983u      0.917s      6.767w     24 calls
JK: K2                              :     41.433u      0.317s      3.311w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.003w     12 calls
HF: Form D                          :      0.017u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.850u      0.233s      0.590w     11 calls
HF: Form C                          :      3.867u      1.100s      1.844w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.067u      0.050s      0.491w      1 calls
| build grid                        :      3.850u      0.033s      0.359w      1 calls
| post-process grid                 :      0.217u      0.017s      0.132w      1 calls
DFH: sparsity prep                  :      0.167u      0.000s      0.099w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.066w      1 calls
Libint2ERI::Libint2ERI              :      0.217u      0.000s      0.127w      2 calls
JK: (A|Q)^-1                        :      2.417u      0.400s      0.805w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      6.700u      0.183s      0.546w      1 calls
JK: (Q|mn)                          :     40.250u      0.283s      3.658w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.250s      0.158w      1 calls
HF: Form core H                     :      0.283u      0.000s      0.026w      1 calls
HF: Form S/X                        :      0.267u      0.083s      0.128w      1 calls
HF: Guess                           :      0.083u      0.033s      0.033w      1 calls
| SAD Guess                         :      0.067u      0.033s      0.032w      1 calls
HF: Form G                          :    610.867u      8.750s     54.283w     12 calls
| RV: Form V                        :    482.100u      2.767s     40.946w     12 calls
| | Properties                      :    172.986p                          56592 calls
| | Functional                      :      4.622p                          56592 calls
| | V_xc                            :    149.471p                          56592 calls
| JK: D                             :      0.033u      0.000s      0.006w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     12 calls
| JK: JK                            :    128.733u      5.983s     13.323w     12 calls
| | JK: (Q|mn) Read                 :      0.033u      4.050s      2.495w     24 calls
| | JK: J                           :      4.217u      0.183s      0.410w     24 calls
| | | JK: J1                        :      2.300u      0.183s      0.212w     24 calls
| | | JK: J2                        :      1.900u      0.000s      0.185w     24 calls
| | JK: K                           :    124.417u      1.233s     10.079w     24 calls
| | | JK: K1                        :     82.983u      0.917s      6.767w     24 calls
| | | JK: K2                        :     41.433u      0.317s      3.311w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.003w     12 calls
HF: Form D                          :      0.017u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.850u      0.233s      0.590w     11 calls
HF: Form C                          :      3.867u      1.100s      1.844w     11 calls

**************************************************************************************
