
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:16:06 2026
Timers Off: Mon Aug 10 18:16:41 2026

Wall Time:       34.78 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      5.850u      0.033s      0.622w      1 calls
build grid                          :      5.633u      0.017s      0.481w      1 calls
post-process grid                   :      0.217u      0.017s      0.142w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.044w      1 calls
Libint2ERI::Libint2ERI              :      0.100u      0.000s      0.059w     10 calls
DFH: initialize()                   :     38.067u      1.667s      5.839w      1 calls
DFH: AO Construction                :      5.833u      0.033s      0.849w     25 calls
DFH: AO-Met. Contraction            :     26.983u      1.400s      2.903w     25 calls
HF: Form core H                     :      0.317u      0.000s      0.031w      1 calls
HF: Form S/X                        :      0.200u      0.083s      0.098w      1 calls
HF: Guess                           :      0.117u      0.133s      0.077w      1 calls
SAD Guess                           :      0.117u      0.117s      0.075w      1 calls
HF: Form G                          :    291.683u      3.933s     24.925w     12 calls
RV: Form V                          :    195.933u      1.383s     16.126w     12 calls
Properties                          :     72.808p                          65316 calls
Functional                          :      4.989p                          65316 calls
V_xc                                :     50.956p                          65316 calls
JK: D                               :      0.033u      0.000s      0.005w     12 calls
JK: USO2AO                          :      0.000u      0.017s      0.001w     12 calls
JK: JK                              :     95.700u      2.517s      8.787w     12 calls
DFH: compute_JK()                   :     95.700u      2.517s      8.786w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      4.950u      0.900s      0.472w     24 calls
DFH: compute_K                      :     90.517u      0.867s      7.656w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.050u      0.017s      0.003w     12 calls
HF: DIIS                            :      1.217u      0.233s      0.669w     11 calls
HF: Form C                          :      1.883u      0.867s      1.026w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      5.850u      0.033s      0.622w      1 calls
| build grid                        :      5.633u      0.017s      0.481w      1 calls
| post-process grid                 :      0.217u      0.017s      0.142w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.044w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.030w      1 calls
DFH: initialize()                   :     38.067u      1.667s      5.839w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.029w      9 calls
| DFH: AO Construction              :      5.833u      0.033s      0.849w     25 calls
| DFH: AO-Met. Contraction          :     26.983u      1.400s      2.903w     25 calls
HF: Form core H                     :      0.317u      0.000s      0.031w      1 calls
HF: Form S/X                        :      0.200u      0.083s      0.098w      1 calls
HF: Guess                           :      0.117u      0.133s      0.077w      1 calls
| SAD Guess                         :      0.117u      0.117s      0.075w      1 calls
HF: Form G                          :    291.683u      3.933s     24.925w     12 calls
| RV: Form V                        :    195.933u      1.383s     16.126w     12 calls
| | Properties                      :     72.808p                          65316 calls
| | Functional                      :      4.989p                          65316 calls
| | V_xc                            :     50.956p                          65316 calls
| JK: D                             :      0.033u      0.000s      0.005w     12 calls
| JK: USO2AO                        :      0.000u      0.017s      0.001w     12 calls
| JK: JK                            :     95.700u      2.517s      8.787w     12 calls
| | DFH: compute_JK()               :     95.700u      2.517s      8.786w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      4.950u      0.900s      0.472w     24 calls
| | | DFH: compute_K                :     90.517u      0.867s      7.656w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.050u      0.017s      0.003w     12 calls
HF: DIIS                            :      1.217u      0.233s      0.669w     11 calls
HF: Form C                          :      1.883u      0.867s      1.026w     11 calls

**************************************************************************************
