
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:22:15 2026
Timers Off: Mon Aug 10 18:22:50 2026

Wall Time:       34.28 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      6.683u      0.033s      0.683w      1 calls
build grid                          :      6.450u      0.033s      0.539w      1 calls
post-process grid                   :      0.233u      0.000s      0.144w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.043w      1 calls
Libint2ERI::Libint2ERI              :      0.100u      0.000s      0.057w     10 calls
DFH: initialize()                   :     31.750u      1.767s      4.907w      1 calls
DFH: AO Construction                :      4.583u      0.017s      0.685w     27 calls
DFH: AO-Met. Contraction            :     22.117u      1.500s      2.246w     27 calls
HF: Form core H                     :      0.333u      0.000s      0.030w      1 calls
HF: Form S/X                        :      0.167u      0.083s      0.091w      1 calls
HF: Guess                           :      0.083u      0.083s      0.060w      1 calls
SAD Guess                           :      0.083u      0.083s      0.059w      1 calls
HF: Form G                          :    310.033u      3.967s     25.410w     12 calls
RV: Form V                          :    215.100u      0.900s     16.899w     12 calls
Properties                          :     76.532p                          67800 calls
Functional                          :      4.799p                          67800 calls
V_xc                                :     53.658p                          67800 calls
JK: D                               :      0.017u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     94.883u      3.067s      8.500w     12 calls
DFH: compute_JK()                   :     94.883u      3.067s      8.499w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      5.117u      1.750s      0.581w     24 calls
DFH: compute_K                      :     89.550u      0.583s      7.211w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.003w     12 calls
HF: Form D                          :      0.000u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.167u      0.217s      0.616w     11 calls
HF: Form C                          :      1.933u      0.950s      1.023w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      6.683u      0.033s      0.683w      1 calls
| build grid                        :      6.450u      0.033s      0.539w      1 calls
| post-process grid                 :      0.233u      0.000s      0.144w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.043w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.029w      1 calls
DFH: initialize()                   :     31.750u      1.767s      4.907w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.029w      9 calls
| DFH: AO Construction              :      4.583u      0.017s      0.685w     27 calls
| DFH: AO-Met. Contraction          :     22.117u      1.500s      2.246w     27 calls
HF: Form core H                     :      0.333u      0.000s      0.030w      1 calls
HF: Form S/X                        :      0.167u      0.083s      0.091w      1 calls
HF: Guess                           :      0.083u      0.083s      0.060w      1 calls
| SAD Guess                         :      0.083u      0.083s      0.059w      1 calls
HF: Form G                          :    310.033u      3.967s     25.410w     12 calls
| RV: Form V                        :    215.100u      0.900s     16.899w     12 calls
| | Properties                      :     76.532p                          67800 calls
| | Functional                      :      4.799p                          67800 calls
| | V_xc                            :     53.658p                          67800 calls
| JK: D                             :      0.017u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     94.883u      3.067s      8.500w     12 calls
| | DFH: compute_JK()               :     94.883u      3.067s      8.499w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      5.117u      1.750s      0.581w     24 calls
| | | DFH: compute_K                :     89.550u      0.583s      7.211w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.003w     12 calls
HF: Form D                          :      0.000u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.167u      0.217s      0.616w     11 calls
HF: Form C                          :      1.933u      0.950s      1.023w     11 calls

**************************************************************************************
