
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:23:26 2026
Timers Off: Mon Aug 10 18:23:58 2026

Wall Time:       32.09 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      6.633u      0.050s      0.680w      1 calls
build grid                          :      6.383u      0.033s      0.532w      1 calls
post-process grid                   :      0.250u      0.017s      0.148w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.044w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.058w     10 calls
DFH: initialize()                   :     35.817u      1.467s      5.548w      1 calls
DFH: AO Construction                :      5.433u      0.050s      0.797w     22 calls
DFH: AO-Met. Contraction            :     25.250u      1.167s      2.692w     22 calls
HF: Form core H                     :      0.333u      0.000s      0.069w      1 calls
HF: Form S/X                        :      0.200u      0.083s      0.096w      1 calls
HF: Guess                           :      0.117u      0.167s      0.153w      1 calls
SAD Guess                           :      0.117u      0.167s      0.151w      1 calls
HF: Form G                          :    259.317u      6.283s     22.197w     12 calls
RV: Form V                          :    167.817u      1.750s     13.719w     12 calls
Properties                          :     63.244p                          68940 calls
Functional                          :      5.109p                          68940 calls
V_xc                                :     41.212p                          68940 calls
JK: D                               :      0.067u      0.000s      0.007w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     91.417u      4.533s      8.464w     12 calls
DFH: compute_JK()                   :     91.417u      4.533s      8.463w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      4.483u      3.167s      0.669w     24 calls
DFH: compute_K                      :     86.700u      0.750s      7.200w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.033u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.183u      0.283s      0.661w     11 calls
HF: Form C                          :      1.983u      0.867s      1.045w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      6.633u      0.050s      0.680w      1 calls
| build grid                        :      6.383u      0.033s      0.532w      1 calls
| post-process grid                 :      0.250u      0.017s      0.148w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.044w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.029w      1 calls
DFH: initialize()                   :     35.817u      1.467s      5.548w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.029w      9 calls
| DFH: AO Construction              :      5.433u      0.050s      0.797w     22 calls
| DFH: AO-Met. Contraction          :     25.250u      1.167s      2.692w     22 calls
HF: Form core H                     :      0.333u      0.000s      0.069w      1 calls
HF: Form S/X                        :      0.200u      0.083s      0.096w      1 calls
HF: Guess                           :      0.117u      0.167s      0.153w      1 calls
| SAD Guess                         :      0.117u      0.167s      0.151w      1 calls
HF: Form G                          :    259.317u      6.283s     22.197w     12 calls
| RV: Form V                        :    167.817u      1.750s     13.719w     12 calls
| | Properties                      :     63.244p                          68940 calls
| | Functional                      :      5.109p                          68940 calls
| | V_xc                            :     41.212p                          68940 calls
| JK: D                             :      0.067u      0.000s      0.007w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     91.417u      4.533s      8.464w     12 calls
| | DFH: compute_JK()               :     91.417u      4.533s      8.463w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      4.483u      3.167s      0.669w     24 calls
| | | DFH: compute_K                :     86.700u      0.750s      7.200w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.033u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.183u      0.283s      0.661w     11 calls
HF: Form C                          :      1.983u      0.867s      1.045w     11 calls

**************************************************************************************
