
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:24:02 2026
Timers Off: Mon Aug 10 18:24:34 2026

Wall Time:       32.74 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      7.100u      0.050s      0.739w      1 calls
build grid                          :      6.833u      0.033s      0.577w      1 calls
post-process grid                   :      0.267u      0.017s      0.163w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.042w      1 calls
Libint2ERI::Libint2ERI              :      0.100u      0.000s      0.057w     10 calls
DFH: initialize()                   :     39.917u      1.400s      6.025w      1 calls
DFH: AO Construction                :      6.167u      0.033s      0.784w     22 calls
DFH: AO-Met. Contraction            :     28.100u      1.117s      2.916w     22 calls
HF: Form core H                     :      0.350u      0.017s      0.040w      1 calls
HF: Form S/X                        :      0.200u      0.083s      0.098w      1 calls
HF: Guess                           :      0.100u      0.150s      0.088w      1 calls
SAD Guess                           :      0.100u      0.150s      0.086w      1 calls
HF: Form G                          :    262.800u      4.200s     22.436w     12 calls
RV: Form V                          :    171.433u      1.450s     13.906w     12 calls
Properties                          :     62.653p                          68880 calls
Functional                          :      5.157p                          68880 calls
V_xc                                :     43.254p                          68880 calls
JK: D                               :      0.033u      0.000s      0.005w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     91.333u      2.750s      8.519w     12 calls
DFH: compute_JK()                   :     91.333u      2.750s      8.519w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      4.767u      1.383s      0.493w     24 calls
DFH: compute_K                      :     86.367u      0.650s      7.031w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.183u      0.233s      0.623w     11 calls
HF: Form C                          :      2.033u      0.967s      1.069w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      7.100u      0.050s      0.739w      1 calls
| build grid                        :      6.833u      0.033s      0.577w      1 calls
| post-process grid                 :      0.267u      0.017s      0.163w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.042w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.028w      1 calls
DFH: initialize()                   :     39.917u      1.400s      6.025w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.028w      9 calls
| DFH: AO Construction              :      6.167u      0.033s      0.784w     22 calls
| DFH: AO-Met. Contraction          :     28.100u      1.117s      2.916w     22 calls
HF: Form core H                     :      0.350u      0.017s      0.040w      1 calls
HF: Form S/X                        :      0.200u      0.083s      0.098w      1 calls
HF: Guess                           :      0.100u      0.150s      0.088w      1 calls
| SAD Guess                         :      0.100u      0.150s      0.086w      1 calls
HF: Form G                          :    262.800u      4.200s     22.436w     12 calls
| RV: Form V                        :    171.433u      1.450s     13.906w     12 calls
| | Properties                      :     62.653p                          68880 calls
| | Functional                      :      5.157p                          68880 calls
| | V_xc                            :     43.254p                          68880 calls
| JK: D                             :      0.033u      0.000s      0.005w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     91.333u      2.750s      8.519w     12 calls
| | DFH: compute_JK()               :     91.333u      2.750s      8.519w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      4.767u      1.383s      0.493w     24 calls
| | | DFH: compute_K                :     86.367u      0.650s      7.031w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.183u      0.233s      0.623w     11 calls
HF: Form C                          :      2.033u      0.967s      1.069w     11 calls

**************************************************************************************
