
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:24:37 2026
Timers Off: Mon Aug 10 18:25:35 2026

Wall Time:       58.21 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      9.433u      0.050s      0.958w      1 calls
build grid                          :      9.133u      0.033s      0.771w      1 calls
post-process grid                   :      0.300u      0.017s      0.187w      1 calls
Libint2ERI::Libint2ERI              :      0.117u      0.000s      0.069w     10 calls
JK: (A|Q)^-1                        :      8.750u      0.500s      3.596w      1 calls
JK: (A|mn)                          :     10.117u      0.333s      0.884w      1 calls
JK: (Q|mn)                          :     56.250u      0.350s      5.099w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.517s      0.708w      1 calls
HF: Form core H                     :      0.317u      0.017s      0.029w      1 calls
HF: Form S/X                        :      0.183u      0.067s      0.091w      1 calls
HF: Guess                           :      0.100u      0.067s      0.056w      1 calls
SAD Guess                           :      0.100u      0.067s      0.055w      1 calls
HF: Form G                          :    460.183u     10.250s     43.061w     12 calls
RV: Form V                          :    268.583u      1.833s     23.705w     12 calls
Properties                          :    107.032p                          74556 calls
Functional                          :      6.497p                          74556 calls
V_xc                                :     75.664p                          74556 calls
JK: D                               :      0.100u      0.000s      0.008w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     12 calls
JK: JK                              :    191.500u      8.400s     19.339w     12 calls
JK: (Q|mn) Read                     :      0.100u      3.867s      2.359w     24 calls
JK: J                               :      4.267u      0.717s      0.532w     24 calls
JK: J1                              :      2.367u      0.700s      0.343w     24 calls
JK: J2                              :      1.867u      0.017s      0.180w     24 calls
JK: K                               :    187.100u      3.183s     16.095w     24 calls
JK: K1                              :    100.800u      2.150s      8.655w     24 calls
JK: K2                              :     86.300u      1.033s      7.438w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.383u      0.300s      0.714w     11 calls
HF: Form C                          :      2.600u      0.983s      1.310w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      9.433u      0.050s      0.958w      1 calls
| build grid                        :      9.133u      0.033s      0.771w      1 calls
| post-process grid                 :      0.300u      0.017s      0.187w      1 calls
Libint2ERI::Libint2ERI              :      0.117u      0.000s      0.067w      2 calls
JK: (A|Q)^-1                        :      8.750u      0.500s      3.596w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      8 calls
JK: (A|mn)                          :     10.117u      0.333s      0.884w      1 calls
JK: (Q|mn)                          :     56.250u      0.350s      5.099w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.517s      0.708w      1 calls
HF: Form core H                     :      0.317u      0.017s      0.029w      1 calls
HF: Form S/X                        :      0.183u      0.067s      0.091w      1 calls
HF: Guess                           :      0.100u      0.067s      0.056w      1 calls
| SAD Guess                         :      0.100u      0.067s      0.055w      1 calls
HF: Form G                          :    460.183u     10.250s     43.061w     12 calls
| RV: Form V                        :    268.583u      1.833s     23.705w     12 calls
| | Properties                      :    107.032p                          74556 calls
| | Functional                      :      6.497p                          74556 calls
| | V_xc                            :     75.664p                          74556 calls
| JK: D                             :      0.100u      0.000s      0.008w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     12 calls
| JK: JK                            :    191.500u      8.400s     19.339w     12 calls
| | JK: (Q|mn) Read                 :      0.100u      3.867s      2.359w     24 calls
| | JK: J                           :      4.267u      0.717s      0.532w     24 calls
| | | JK: J1                        :      2.367u      0.700s      0.343w     24 calls
| | | JK: J2                        :      1.867u      0.017s      0.180w     24 calls
| | JK: K                           :    187.100u      3.183s     16.095w     24 calls
| | | JK: K1                        :    100.800u      2.150s      8.655w     24 calls
| | | JK: K2                        :     86.300u      1.033s      7.438w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.383u      0.300s      0.714w     11 calls
HF: Form C                          :      2.600u      0.983s      1.310w     11 calls

**************************************************************************************
