
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:25:39 2026
Timers Off: Mon Aug 10 18:26:38 2026

Wall Time:       59.39 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      9.517u      0.050s      0.969w      1 calls
build grid                          :      9.200u      0.033s      0.780w      1 calls
post-process grid                   :      0.317u      0.017s      0.189w      1 calls
Libint2ERI::Libint2ERI              :      0.117u      0.017s      0.069w     10 calls
JK: (A|Q)^-1                        :      8.300u      0.450s      3.351w      1 calls
JK: (A|mn)                          :      9.867u      0.300s      0.877w      1 calls
JK: (Q|mn)                          :     53.650u      0.267s      5.377w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.500s      0.433w      1 calls
HF: Form core H                     :      0.350u      0.017s      0.031w      1 calls
HF: Form S/X                        :      0.200u      0.067s      0.097w      1 calls
HF: Guess                           :      0.083u      0.083s      0.058w      1 calls
SAD Guess                           :      0.083u      0.083s      0.057w      1 calls
HF: Form G                          :    470.233u     10.383s     44.485w     12 calls
RV: Form V                          :    271.483u      2.317s     24.449w     12 calls
Properties                          :    110.194p                          73968 calls
Functional                          :      6.498p                          73968 calls
V_xc                                :     78.185p                          73968 calls
JK: D                               :      0.100u      0.000s      0.012w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     12 calls
JK: JK                              :    198.650u      8.067s     20.015w     12 calls
JK: (Q|mn) Read                     :      0.067u      3.717s      2.316w     24 calls
JK: J                               :      4.483u      0.683s      0.511w     24 calls
JK: J1                              :      2.467u      0.650s      0.318w     24 calls
JK: J2                              :      2.017u      0.033s      0.184w     24 calls
JK: K                               :    194.050u      2.933s     16.772w     24 calls
JK: K1                              :    104.933u      2.033s      9.066w     24 calls
JK: K2                              :     89.117u      0.900s      7.704w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.383u      0.267s      0.759w     11 calls
HF: Form C                          :      2.500u      0.917s      1.263w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      9.517u      0.050s      0.969w      1 calls
| build grid                        :      9.200u      0.033s      0.780w      1 calls
| post-process grid                 :      0.317u      0.017s      0.189w      1 calls
Libint2ERI::Libint2ERI              :      0.117u      0.000s      0.067w      2 calls
JK: (A|Q)^-1                        :      8.300u      0.450s      3.351w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.001w      8 calls
JK: (A|mn)                          :      9.867u      0.300s      0.877w      1 calls
JK: (Q|mn)                          :     53.650u      0.267s      5.377w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.500s      0.433w      1 calls
HF: Form core H                     :      0.350u      0.017s      0.031w      1 calls
HF: Form S/X                        :      0.200u      0.067s      0.097w      1 calls
HF: Guess                           :      0.083u      0.083s      0.058w      1 calls
| SAD Guess                         :      0.083u      0.083s      0.057w      1 calls
HF: Form G                          :    470.233u     10.383s     44.485w     12 calls
| RV: Form V                        :    271.483u      2.317s     24.449w     12 calls
| | Properties                      :    110.194p                          73968 calls
| | Functional                      :      6.498p                          73968 calls
| | V_xc                            :     78.185p                          73968 calls
| JK: D                             :      0.100u      0.000s      0.012w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     12 calls
| JK: JK                            :    198.650u      8.067s     20.015w     12 calls
| | JK: (Q|mn) Read                 :      0.067u      3.717s      2.316w     24 calls
| | JK: J                           :      4.483u      0.683s      0.511w     24 calls
| | | JK: J1                        :      2.467u      0.650s      0.318w     24 calls
| | | JK: J2                        :      2.017u      0.033s      0.184w     24 calls
| | JK: K                           :    194.050u      2.933s     16.772w     24 calls
| | | JK: K1                        :    104.933u      2.033s      9.066w     24 calls
| | | JK: K2                        :     89.117u      0.900s      7.704w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.383u      0.267s      0.759w     11 calls
HF: Form C                          :      2.500u      0.917s      1.263w     11 calls

**************************************************************************************
