
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:27:30 2026
Timers Off: Mon Aug 10 18:28:21 2026

Wall Time:       51.05 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     14.083u      0.083s      1.513w      1 calls
build grid                          :     13.617u      0.067s      1.219w      1 calls
post-process grid                   :      0.467u      0.017s      0.293w      1 calls
Libint2ERI::Libint2ERI              :      0.100u      0.000s      0.079w     10 calls
JK: (A|Q)^-1                        :      8.517u      0.467s      3.559w      1 calls
JK: (A|mn)                          :      7.683u      0.250s      0.603w      1 calls
JK: (Q|mn)                          :     48.050u      0.383s      4.405w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.400s      0.335w      1 calls
HF: Form core H                     :      0.383u      0.000s      0.035w      1 calls
HF: Form S/X                        :      0.233u      0.083s      0.113w      1 calls
HF: Guess                           :      0.100u      0.100s      0.061w      1 calls
SAD Guess                           :      0.100u      0.100s      0.060w      1 calls
HF: Form G                          :    388.867u      7.767s     36.309w     12 calls
RV: Form V                          :    209.283u      1.483s     18.555w     12 calls
Properties                          :     84.628p                          75300 calls
Functional                          :      6.320p                          75300 calls
V_xc                                :     57.191p                          75300 calls
JK: D                               :      0.117u      0.000s      0.009w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :    179.433u      6.283s     17.736w     12 calls
JK: (Q|mn) Read                     :      0.050u      2.767s      1.740w     24 calls
JK: J                               :      3.567u      0.350s      0.412w     24 calls
JK: J1                              :      1.950u      0.333s      0.229w     24 calls
JK: J2                              :      1.600u      0.017s      0.176w     24 calls
JK: K                               :    175.783u      2.650s     15.259w     24 calls
JK: K1                              :     88.033u      1.833s      7.693w     24 calls
JK: K2                              :     87.750u      0.800s      7.564w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.050u      0.017s      0.006w     12 calls
HF: DIIS                            :      1.433u      0.283s      0.583w     11 calls
HF: Form C                          :      2.850u      1.267s      1.482w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :     14.083u      0.083s      1.513w      1 calls
| build grid                        :     13.617u      0.067s      1.219w      1 calls
| post-process grid                 :      0.467u      0.017s      0.293w      1 calls
Libint2ERI::Libint2ERI              :      0.100u      0.000s      0.077w      2 calls
JK: (A|Q)^-1                        :      8.517u      0.467s      3.559w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      7.683u      0.250s      0.603w      1 calls
JK: (Q|mn)                          :     48.050u      0.383s      4.405w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.400s      0.335w      1 calls
HF: Form core H                     :      0.383u      0.000s      0.035w      1 calls
HF: Form S/X                        :      0.233u      0.083s      0.113w      1 calls
HF: Guess                           :      0.100u      0.100s      0.061w      1 calls
| SAD Guess                         :      0.100u      0.100s      0.060w      1 calls
HF: Form G                          :    388.867u      7.767s     36.309w     12 calls
| RV: Form V                        :    209.283u      1.483s     18.555w     12 calls
| | Properties                      :     84.628p                          75300 calls
| | Functional                      :      6.320p                          75300 calls
| | V_xc                            :     57.191p                          75300 calls
| JK: D                             :      0.117u      0.000s      0.009w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :    179.433u      6.283s     17.736w     12 calls
| | JK: (Q|mn) Read                 :      0.050u      2.767s      1.740w     24 calls
| | JK: J                           :      3.567u      0.350s      0.412w     24 calls
| | | JK: J1                        :      1.950u      0.333s      0.229w     24 calls
| | | JK: J2                        :      1.600u      0.017s      0.176w     24 calls
| | JK: K                           :    175.783u      2.650s     15.259w     24 calls
| | | JK: K1                        :     88.033u      1.833s      7.693w     24 calls
| | | JK: K2                        :     87.750u      0.800s      7.564w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.050u      0.017s      0.006w     12 calls
HF: DIIS                            :      1.433u      0.283s      0.583w     11 calls
HF: Form C                          :      2.850u      1.267s      1.482w     11 calls

**************************************************************************************
