
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 12:55:46 2026
Timers Off: Sun Aug  9 12:58:20 2026

Wall Time:      153.66 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      7.367u      0.033s      0.812w      1 calls
build grid                          :      7.033u      0.017s      0.604w      1 calls
post-process grid                   :      0.333u      0.017s      0.208w      1 calls
DFH: sparsity prep                  :      0.417u      0.000s      0.253w      1 calls
Libint2ERI::Libint2ERI              :      0.800u      0.017s      0.482w     11 calls
JK: (A|Q)^-1                        :      6.400u      2.900s      2.666w      1 calls
JK: (A|mn)                          :     18.817u      0.550s      1.547w      2 calls
JK: (Q|mn)                          :    141.033u      0.950s     12.193w      2 calls
JK: (Q|mn) Write                    :      0.017u      2.650s      2.282w      2 calls
HF: Form core H                     :      0.467u      0.017s      0.044w      1 calls
HF: Form S/X                        :      0.650u      0.100s      0.240w      1 calls
HF: Guess                           :      0.183u      0.067s      0.056w      1 calls
SAD Guess                           :      0.183u      0.067s      0.054w      1 calls
HF: Form G                          :   1352.350u     27.017s    124.232w     13 calls
RV: Form V                          :    826.567u      5.433s     69.747w     13 calls
Properties                          :    299.028p                          69667 calls
Functional                          :      5.879p                          69667 calls
V_xc                                :    252.320p                          69667 calls
JK: D                               :      0.167u      0.000s      0.017w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     13 calls
JK: JK                              :    525.567u     21.517s     54.447w     13 calls
JK: (Q|mn) Read                     :      0.133u     12.650s      8.198w     27 calls
JK: J                               :     11.933u      1.133s      1.321w     27 calls
JK: J1                              :      6.400u      1.083s      0.778w     27 calls
JK: J2                              :      5.517u      0.050s      0.516w     27 calls
JK: K                               :    513.433u      6.200s     43.986w     27 calls
JK: K1                              :    296.683u      4.167s     25.236w     27 calls
JK: K2                              :    216.750u      2.017s     18.745w     27 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.017u      0.000s      0.005w     13 calls
HF: Form D                          :      0.083u      0.000s      0.010w     13 calls
HF: DIIS                            :      5.067u      0.517s      1.237w     12 calls
HF: Form C                          :     12.317u      1.983s      5.367w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      7.367u      0.033s      0.812w      1 calls
| build grid                        :      7.033u      0.017s      0.604w      1 calls
| post-process grid                 :      0.333u      0.017s      0.208w      1 calls
DFH: sparsity prep                  :      0.417u      0.000s      0.253w      1 calls
| Libint2ERI::Libint2ERI            :      0.283u      0.000s      0.169w      1 calls
Libint2ERI::Libint2ERI              :      0.517u      0.017s      0.312w      2 calls
JK: (A|Q)^-1                        :      6.400u      2.900s      2.666w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :     18.817u      0.550s      1.547w      2 calls
JK: (Q|mn)                          :    141.033u      0.950s     12.193w      2 calls
JK: (Q|mn) Write                    :      0.017u      2.650s      2.282w      2 calls
HF: Form core H                     :      0.467u      0.017s      0.044w      1 calls
HF: Form S/X                        :      0.650u      0.100s      0.240w      1 calls
HF: Guess                           :      0.183u      0.067s      0.056w      1 calls
| SAD Guess                         :      0.183u      0.067s      0.054w      1 calls
HF: Form G                          :   1352.350u     27.017s    124.232w     13 calls
| RV: Form V                        :    826.567u      5.433s     69.747w     13 calls
| | Properties                      :    299.028p                          69667 calls
| | Functional                      :      5.879p                          69667 calls
| | V_xc                            :    252.320p                          69667 calls
| JK: D                             :      0.167u      0.000s      0.017w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     13 calls
| JK: JK                            :    525.567u     21.517s     54.447w     13 calls
| | JK: (Q|mn) Read                 :      0.133u     12.650s      8.198w     27 calls
| | JK: J                           :     11.933u      1.133s      1.321w     27 calls
| | | JK: J1                        :      6.400u      1.083s      0.778w     27 calls
| | | JK: J2                        :      5.517u      0.050s      0.516w     27 calls
| | JK: K                           :    513.433u      6.200s     43.986w     27 calls
| | | JK: K1                        :    296.683u      4.167s     25.236w     27 calls
| | | JK: K2                        :    216.750u      2.017s     18.745w     27 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.017u      0.000s      0.005w     13 calls
HF: Form D                          :      0.083u      0.000s      0.010w     13 calls
HF: DIIS                            :      5.067u      0.517s      1.237w     12 calls
HF: Form C                          :     12.317u      1.983s      5.367w     12 calls

**************************************************************************************
