
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 15:49:01 2026
Timers Off: Sun Aug  9 15:51:00 2026

Wall Time:      118.94 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      6.717u      0.050s      0.725w      1 calls
build grid                          :      6.467u      0.033s      0.568w      1 calls
post-process grid                   :      0.250u      0.017s      0.156w      1 calls
DFH: sparsity prep                  :      0.367u      0.000s      0.223w      1 calls
Libint2ERI::Libint2ERI              :      0.733u      0.000s      0.437w     11 calls
JK: (A|Q)^-1                        :      5.533u      2.033s      2.140w      1 calls
JK: (A|mn)                          :     13.950u      0.300s      1.078w      2 calls
JK: (Q|mn)                          :    115.233u      0.383s      9.211w      2 calls
JK: (Q|mn) Write                    :      0.017u      2.283s      1.378w      2 calls
HF: Form core H                     :      0.500u      0.000s      0.044w      1 calls
HF: Form S/X                        :      0.600u      0.117s      0.237w      1 calls
HF: Guess                           :      0.167u      0.067s      0.056w      1 calls
SAD Guess                           :      0.167u      0.067s      0.054w      1 calls
HF: Form G                          :   1141.100u     17.600s     95.458w     14 calls
RV: Form V                          :    676.767u      1.550s     51.959w     14 calls
Properties                          :    227.050p                          78722 calls
Functional                          :      5.226p                          78722 calls
V_xc                                :    182.824p                          78722 calls
JK: D                               :      0.133u      0.000s      0.012w     14 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     14 calls
JK: JK                              :    464.167u     16.033s     43.473w     14 calls
JK: (Q|mn) Read                     :      0.133u     10.167s      6.208w     29 calls
JK: J                               :     11.367u      0.600s      1.099w     29 calls
JK: J1                              :      6.033u      0.567s      0.600w     29 calls
JK: J2                              :      5.283u      0.033s      0.471w     29 calls
JK: K                               :    452.617u      3.767s     35.318w     29 calls
JK: K1                              :    270.567u      2.833s     21.214w     29 calls
JK: K2                              :    182.033u      0.933s     14.100w     29 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     14 calls
HF: Form F                          :      0.017u      0.000s      0.004w     14 calls
HF: Form D                          :      0.083u      0.000s      0.008w     14 calls
HF: DIIS                            :      4.083u      0.400s      0.988w     13 calls
HF: Form C                          :     10.350u      1.767s      4.454w     13 calls

--------------------------------------------------------------------------------------
V: Grid                             :      6.717u      0.050s      0.725w      1 calls
| build grid                        :      6.467u      0.033s      0.568w      1 calls
| post-process grid                 :      0.250u      0.017s      0.156w      1 calls
DFH: sparsity prep                  :      0.367u      0.000s      0.223w      1 calls
| Libint2ERI::Libint2ERI            :      0.250u      0.000s      0.148w      1 calls
Libint2ERI::Libint2ERI              :      0.483u      0.000s      0.287w      2 calls
JK: (A|Q)^-1                        :      5.533u      2.033s      2.140w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :     13.950u      0.300s      1.078w      2 calls
JK: (Q|mn)                          :    115.233u      0.383s      9.211w      2 calls
JK: (Q|mn) Write                    :      0.017u      2.283s      1.378w      2 calls
HF: Form core H                     :      0.500u      0.000s      0.044w      1 calls
HF: Form S/X                        :      0.600u      0.117s      0.237w      1 calls
HF: Guess                           :      0.167u      0.067s      0.056w      1 calls
| SAD Guess                         :      0.167u      0.067s      0.054w      1 calls
HF: Form G                          :   1141.100u     17.600s     95.458w     14 calls
| RV: Form V                        :    676.767u      1.550s     51.959w     14 calls
| | Properties                      :    227.050p                          78722 calls
| | Functional                      :      5.226p                          78722 calls
| | V_xc                            :    182.824p                          78722 calls
| JK: D                             :      0.133u      0.000s      0.012w     14 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     14 calls
| JK: JK                            :    464.167u     16.033s     43.473w     14 calls
| | JK: (Q|mn) Read                 :      0.133u     10.167s      6.208w     29 calls
| | JK: J                           :     11.367u      0.600s      1.099w     29 calls
| | | JK: J1                        :      6.033u      0.567s      0.600w     29 calls
| | | JK: J2                        :      5.283u      0.033s      0.471w     29 calls
| | JK: K                           :    452.617u      3.767s     35.318w     29 calls
| | | JK: K1                        :    270.567u      2.833s     21.214w     29 calls
| | | JK: K2                        :    182.033u      0.933s     14.100w     29 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     14 calls
HF: Form F                          :      0.017u      0.000s      0.004w     14 calls
HF: Form D                          :      0.083u      0.000s      0.008w     14 calls
HF: DIIS                            :      4.083u      0.400s      0.988w     13 calls
HF: Form C                          :     10.350u      1.767s      4.454w     13 calls

**************************************************************************************
