
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 15:52:58 2026
Timers Off: Sun Aug  9 15:54:28 2026

Wall Time:       89.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      6.700u      0.033s      0.692w      1 calls
build grid                          :      6.467u      0.017s      0.537w      1 calls
post-process grid                   :      0.233u      0.017s      0.155w      1 calls
DFH: sparsity prep                  :      0.367u      0.000s      0.218w      1 calls
Libint2ERI::Libint2ERI              :      0.717u      0.000s      0.430w     11 calls
JK: (A|Q)^-1                        :      5.550u      0.833s      2.093w      1 calls
JK: (A|mn)                          :     10.300u      0.250s      0.796w      2 calls
JK: (Q|mn)                          :     74.350u      0.200s      5.872w      2 calls
JK: (Q|mn) Write                    :      0.017u      0.700s      0.430w      2 calls
HF: Form core H                     :      0.517u      0.017s      0.046w      1 calls
HF: Form S/X                        :      0.600u      0.100s      0.236w      1 calls
HF: Guess                           :      0.167u      0.050s      0.055w      1 calls
SAD Guess                           :      0.167u      0.050s      0.054w      1 calls
HF: Form G                          :    836.867u     15.200s     70.873w     13 calls
RV: Form V                          :    453.283u      2.050s     35.304w     13 calls
Properties                          :    154.698p                          75439 calls
Functional                          :      4.911p                          75439 calls
V_xc                                :    122.413p                          75439 calls
JK: D                               :      0.133u      0.000s      0.020w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :    383.417u     13.150s     35.536w     13 calls
JK: (Q|mn) Read                     :      0.167u      7.633s      4.659w     26 calls
JK: J                               :      8.717u      0.567s      0.839w     26 calls
JK: J1                              :      4.700u      0.550s      0.462w     26 calls
JK: J2                              :      3.950u      0.017s      0.355w     26 calls
JK: K                               :    374.450u      3.967s     29.505w     26 calls
JK: K1                              :    202.150u      2.650s     16.087w     26 calls
JK: K2                              :    172.300u      1.317s     13.414w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.050u      0.017s      0.004w     13 calls
HF: Form D                          :      0.083u      0.000s      0.008w     13 calls
HF: DIIS                            :      3.833u      0.383s      0.896w     12 calls
HF: Form C                          :      9.733u      1.733s      4.137w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      6.700u      0.033s      0.692w      1 calls
| build grid                        :      6.467u      0.017s      0.537w      1 calls
| post-process grid                 :      0.233u      0.017s      0.155w      1 calls
DFH: sparsity prep                  :      0.367u      0.000s      0.218w      1 calls
| Libint2ERI::Libint2ERI            :      0.250u      0.000s      0.144w      1 calls
Libint2ERI::Libint2ERI              :      0.467u      0.000s      0.286w      2 calls
JK: (A|Q)^-1                        :      5.550u      0.833s      2.093w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :     10.300u      0.250s      0.796w      2 calls
JK: (Q|mn)                          :     74.350u      0.200s      5.872w      2 calls
JK: (Q|mn) Write                    :      0.017u      0.700s      0.430w      2 calls
HF: Form core H                     :      0.517u      0.017s      0.046w      1 calls
HF: Form S/X                        :      0.600u      0.100s      0.236w      1 calls
HF: Guess                           :      0.167u      0.050s      0.055w      1 calls
| SAD Guess                         :      0.167u      0.050s      0.054w      1 calls
HF: Form G                          :    836.867u     15.200s     70.873w     13 calls
| RV: Form V                        :    453.283u      2.050s     35.304w     13 calls
| | Properties                      :    154.698p                          75439 calls
| | Functional                      :      4.911p                          75439 calls
| | V_xc                            :    122.413p                          75439 calls
| JK: D                             :      0.133u      0.000s      0.020w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     13 calls
| JK: JK                            :    383.417u     13.150s     35.536w     13 calls
| | JK: (Q|mn) Read                 :      0.167u      7.633s      4.659w     26 calls
| | JK: J                           :      8.717u      0.567s      0.839w     26 calls
| | | JK: J1                        :      4.700u      0.550s      0.462w     26 calls
| | | JK: J2                        :      3.950u      0.017s      0.355w     26 calls
| | JK: K                           :    374.450u      3.967s     29.505w     26 calls
| | | JK: K1                        :    202.150u      2.650s     16.087w     26 calls
| | | JK: K2                        :    172.300u      1.317s     13.414w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.050u      0.017s      0.004w     13 calls
HF: Form D                          :      0.083u      0.000s      0.008w     13 calls
HF: DIIS                            :      3.833u      0.383s      0.896w     12 calls
HF: Form C                          :      9.733u      1.733s      4.137w     12 calls

**************************************************************************************
