
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 15:54:29 2026
Timers Off: Sun Aug  9 15:56:04 2026

Wall Time:       94.72 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      6.933u      0.050s      0.745w      1 calls
build grid                          :      6.667u      0.050s      0.579w      1 calls
post-process grid                   :      0.267u      0.000s      0.166w      1 calls
DFH: sparsity prep                  :      0.350u      0.017s      0.221w      1 calls
Libint2ERI::Libint2ERI              :      0.700u      0.033s      0.432w     11 calls
JK: (A|Q)^-1                        :      5.433u      0.967s      2.071w      1 calls
JK: (A|mn)                          :     13.267u      0.333s      1.041w      2 calls
JK: (Q|mn)                          :     99.617u      0.517s      8.148w      2 calls
JK: (Q|mn) Write                    :      0.017u      1.067s      0.654w      2 calls
HF: Form core H                     :      0.483u      0.000s      0.044w      1 calls
HF: Form S/X                        :      0.583u      0.117s      0.230w      1 calls
HF: Guess                           :      0.167u      0.067s      0.058w      1 calls
SAD Guess                           :      0.150u      0.067s      0.056w      1 calls
HF: Form G                          :    862.783u     14.517s     73.363w     13 calls
RV: Form V                          :    474.800u      1.533s     37.161w     13 calls
Properties                          :    164.121p                          74815 calls
Functional                          :      4.990p                          74815 calls
V_xc                                :    127.805p                          74815 calls
JK: D                               :      0.183u      0.000s      0.013w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :    387.800u     12.950s     36.177w     13 calls
JK: (Q|mn) Read                     :      0.117u      7.833s      4.804w     26 calls
JK: J                               :      8.917u      0.567s      0.878w     26 calls
JK: J1                              :      4.833u      0.550s      0.487w     26 calls
JK: J2                              :      4.050u      0.017s      0.370w     26 calls
JK: K                               :    378.717u      3.300s     29.783w     26 calls
JK: K1                              :    204.317u      2.217s     16.145w     26 calls
JK: K2                              :    174.400u      1.067s     13.635w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.017s      0.004w     13 calls
HF: Form D                          :      0.067u      0.000s      0.008w     13 calls
HF: DIIS                            :      3.867u      0.367s      0.927w     12 calls
HF: Form C                          :      9.667u      1.717s      4.170w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      6.933u      0.050s      0.745w      1 calls
| build grid                        :      6.667u      0.050s      0.579w      1 calls
| post-process grid                 :      0.267u      0.000s      0.166w      1 calls
DFH: sparsity prep                  :      0.350u      0.017s      0.221w      1 calls
| Libint2ERI::Libint2ERI            :      0.233u      0.017s      0.147w      1 calls
Libint2ERI::Libint2ERI              :      0.467u      0.000s      0.284w      2 calls
JK: (A|Q)^-1                        :      5.433u      0.967s      2.071w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.001w      8 calls
JK: (A|mn)                          :     13.267u      0.333s      1.041w      2 calls
JK: (Q|mn)                          :     99.617u      0.517s      8.148w      2 calls
JK: (Q|mn) Write                    :      0.017u      1.067s      0.654w      2 calls
HF: Form core H                     :      0.483u      0.000s      0.044w      1 calls
HF: Form S/X                        :      0.583u      0.117s      0.230w      1 calls
HF: Guess                           :      0.167u      0.067s      0.058w      1 calls
| SAD Guess                         :      0.150u      0.067s      0.056w      1 calls
HF: Form G                          :    862.783u     14.517s     73.363w     13 calls
| RV: Form V                        :    474.800u      1.533s     37.161w     13 calls
| | Properties                      :    164.121p                          74815 calls
| | Functional                      :      4.990p                          74815 calls
| | V_xc                            :    127.805p                          74815 calls
| JK: D                             :      0.183u      0.000s      0.013w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     13 calls
| JK: JK                            :    387.800u     12.950s     36.177w     13 calls
| | JK: (Q|mn) Read                 :      0.117u      7.833s      4.804w     26 calls
| | JK: J                           :      8.917u      0.567s      0.878w     26 calls
| | | JK: J1                        :      4.833u      0.550s      0.487w     26 calls
| | | JK: J2                        :      4.050u      0.017s      0.370w     26 calls
| | JK: K                           :    378.717u      3.300s     29.783w     26 calls
| | | JK: K1                        :    204.317u      2.217s     16.145w     26 calls
| | | JK: K2                        :    174.400u      1.067s     13.635w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.017s      0.004w     13 calls
HF: Form D                          :      0.067u      0.000s      0.008w     13 calls
HF: DIIS                            :      3.867u      0.367s      0.927w     12 calls
HF: Form C                          :      9.667u      1.717s      4.170w     12 calls

**************************************************************************************
