
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 16:04:10 2026
Timers Off: Sun Aug  9 16:06:01 2026

Wall Time:      111.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      8.967u      0.033s      0.920w      1 calls
build grid                          :      8.667u      0.033s      0.737w      1 calls
post-process grid                   :      0.300u      0.000s      0.183w      1 calls
Libint2ERI::Libint2ERI              :      0.567u      0.000s      0.347w     10 calls
JK: (A|Q)^-1                        :      7.633u      2.500s      3.007w      1 calls
JK: (A|mn)                          :     14.117u      0.267s      1.087w      2 calls
JK: (Q|mn)                          :    115.833u      0.133s      9.027w      2 calls
JK: (Q|mn) Write                    :      0.017u      2.317s      1.392w      2 calls
HF: Form core H                     :      0.633u      0.017s      0.055w      1 calls
HF: Form S/X                        :      0.783u      0.100s      0.290w      1 calls
HF: Guess                           :      0.217u      0.067s      0.059w      1 calls
SAD Guess                           :      0.200u      0.067s      0.057w      1 calls
HF: Form G                          :   1057.400u     14.517s     87.280w     13 calls
RV: Form V                          :    534.317u      1.017s     40.662w     13 calls
Properties                          :    178.533p                          81640 calls
Functional                          :      4.796p                          81640 calls
V_xc                                :    141.588p                          81640 calls
JK: D                               :      0.167u      0.017s      0.013w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :    522.867u     13.433s     46.590w     13 calls
JK: (Q|mn) Read                     :      0.167u      9.067s      5.653w     39 calls
JK: J                               :     10.883u      0.283s      1.027w     39 calls
JK: J1                              :      5.550u      0.250s      0.523w     39 calls
JK: J2                              :      5.267u      0.033s      0.469w     39 calls
JK: K                               :    511.800u      3.083s     39.309w     39 calls
JK: K1                              :    278.117u      2.150s     21.437w     39 calls
JK: K2                              :    233.683u      0.933s     17.867w     39 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.004w     13 calls
HF: Form D                          :      0.100u      0.000s      0.010w     13 calls
HF: DIIS                            :      4.683u      0.383s      0.888w     12 calls
HF: Form C                          :     11.433u      1.667s      4.670w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      8.967u      0.033s      0.920w      1 calls
| build grid                        :      8.667u      0.033s      0.737w      1 calls
| post-process grid                 :      0.300u      0.000s      0.183w      1 calls
Libint2ERI::Libint2ERI              :      0.567u      0.000s      0.345w      2 calls
JK: (A|Q)^-1                        :      7.633u      2.500s      3.007w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :     14.117u      0.267s      1.087w      2 calls
JK: (Q|mn)                          :    115.833u      0.133s      9.027w      2 calls
JK: (Q|mn) Write                    :      0.017u      2.317s      1.392w      2 calls
HF: Form core H                     :      0.633u      0.017s      0.055w      1 calls
HF: Form S/X                        :      0.783u      0.100s      0.290w      1 calls
HF: Guess                           :      0.217u      0.067s      0.059w      1 calls
| SAD Guess                         :      0.200u      0.067s      0.057w      1 calls
HF: Form G                          :   1057.400u     14.517s     87.280w     13 calls
| RV: Form V                        :    534.317u      1.017s     40.662w     13 calls
| | Properties                      :    178.533p                          81640 calls
| | Functional                      :      4.796p                          81640 calls
| | V_xc                            :    141.588p                          81640 calls
| JK: D                             :      0.167u      0.017s      0.013w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     13 calls
| JK: JK                            :    522.867u     13.433s     46.590w     13 calls
| | JK: (Q|mn) Read                 :      0.167u      9.067s      5.653w     39 calls
| | JK: J                           :     10.883u      0.283s      1.027w     39 calls
| | | JK: J1                        :      5.550u      0.250s      0.523w     39 calls
| | | JK: J2                        :      5.267u      0.033s      0.469w     39 calls
| | JK: K                           :    511.800u      3.083s     39.309w     39 calls
| | | JK: K1                        :    278.117u      2.150s     21.437w     39 calls
| | | JK: K2                        :    233.683u      0.933s     17.867w     39 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.004w     13 calls
HF: Form D                          :      0.100u      0.000s      0.010w     13 calls
HF: DIIS                            :      4.683u      0.383s      0.888w     12 calls
HF: Form C                          :     11.433u      1.667s      4.670w     12 calls

**************************************************************************************
