
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 16:06:06 2026
Timers Off: Sun Aug  9 16:08:00 2026

Wall Time:      114.46 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      8.967u      0.050s      0.931w      1 calls
build grid                          :      8.667u      0.033s      0.740w      1 calls
post-process grid                   :      0.300u      0.017s      0.190w      1 calls
Libint2ERI::Libint2ERI              :      0.567u      0.017s      0.348w     10 calls
JK: (A|Q)^-1                        :      7.733u      2.617s      2.930w      1 calls
JK: (A|mn)                          :     14.950u      0.267s      1.142w      2 calls
JK: (Q|mn)                          :    110.900u      0.167s      8.738w      2 calls
JK: (Q|mn) Write                    :      0.000u      2.533s      1.535w      2 calls
HF: Form core H                     :      0.633u      0.000s      0.057w      1 calls
HF: Form S/X                        :      0.817u      0.117s      0.303w      1 calls
HF: Guess                           :      0.200u      0.050s      0.058w      1 calls
SAD Guess                           :      0.200u      0.050s      0.056w      1 calls
HF: Form G                          :   1087.933u     14.583s     90.147w     13 calls
RV: Form V                          :    558.333u      1.133s     42.495w     13 calls
Properties                          :    187.304p                          81614 calls
Functional                          :      4.767p                          81614 calls
V_xc                                :    147.513p                          81614 calls
JK: D                               :      0.167u      0.000s      0.012w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :    529.400u     13.450s     47.624w     13 calls
JK: (Q|mn) Read                     :      0.217u      9.500s      6.081w     39 calls
JK: J                               :     11.150u      0.117s      1.067w     39 calls
JK: J1                              :      5.550u      0.083s      0.538w     39 calls
JK: J2                              :      5.533u      0.017s      0.490w     39 calls
JK: K                               :    518.017u      2.767s     39.901w     39 calls
JK: K1                              :    284.950u      1.967s     21.996w     39 calls
JK: K2                              :    233.033u      0.783s     17.898w     39 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.033u      0.000s      0.004w     13 calls
HF: Form D                          :      0.117u      0.000s      0.010w     13 calls
HF: DIIS                            :      4.567u      0.333s      0.898w     12 calls
HF: Form C                          :     11.350u      1.700s      4.622w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      8.967u      0.050s      0.931w      1 calls
| build grid                        :      8.667u      0.033s      0.740w      1 calls
| post-process grid                 :      0.300u      0.017s      0.190w      1 calls
Libint2ERI::Libint2ERI              :      0.567u      0.017s      0.347w      2 calls
JK: (A|Q)^-1                        :      7.733u      2.617s      2.930w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :     14.950u      0.267s      1.142w      2 calls
JK: (Q|mn)                          :    110.900u      0.167s      8.738w      2 calls
JK: (Q|mn) Write                    :      0.000u      2.533s      1.535w      2 calls
HF: Form core H                     :      0.633u      0.000s      0.057w      1 calls
HF: Form S/X                        :      0.817u      0.117s      0.303w      1 calls
HF: Guess                           :      0.200u      0.050s      0.058w      1 calls
| SAD Guess                         :      0.200u      0.050s      0.056w      1 calls
HF: Form G                          :   1087.933u     14.583s     90.147w     13 calls
| RV: Form V                        :    558.333u      1.133s     42.495w     13 calls
| | Properties                      :    187.304p                          81614 calls
| | Functional                      :      4.767p                          81614 calls
| | V_xc                            :    147.513p                          81614 calls
| JK: D                             :      0.167u      0.000s      0.012w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     13 calls
| JK: JK                            :    529.400u     13.450s     47.624w     13 calls
| | JK: (Q|mn) Read                 :      0.217u      9.500s      6.081w     39 calls
| | JK: J                           :     11.150u      0.117s      1.067w     39 calls
| | | JK: J1                        :      5.550u      0.083s      0.538w     39 calls
| | | JK: J2                        :      5.533u      0.017s      0.490w     39 calls
| | JK: K                           :    518.017u      2.767s     39.901w     39 calls
| | | JK: K1                        :    284.950u      1.967s     21.996w     39 calls
| | | JK: K2                        :    233.033u      0.783s     17.898w     39 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.033u      0.000s      0.004w     13 calls
HF: Form D                          :      0.117u      0.000s      0.010w     13 calls
HF: DIIS                            :      4.567u      0.333s      0.898w     12 calls
HF: Form C                          :     11.350u      1.700s      4.622w     12 calls

**************************************************************************************
