
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:12:34 2026
Timers Off: Mon Aug 10 18:12:44 2026

Wall Time:        9.53 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.400u      0.017s      0.302w      1 calls
build grid                          :      2.267u      0.017s      0.216w      1 calls
post-process grid                   :      0.133u      0.000s      0.086w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.019w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.025w     10 calls
DFH: initialize()                   :      6.617u      0.533s      1.386w      1 calls
DFH: AO Construction                :      1.117u      0.000s      0.253w     22 calls
DFH: AO-Met. Contraction            :      3.850u      0.400s      0.449w     22 calls
HF: Form core H                     :      0.067u      0.017s      0.008w      1 calls
HF: Form S/X                        :      0.033u      0.017s      0.019w      1 calls
HF: Guess                           :      0.033u      0.033s      0.025w      1 calls
SAD Guess                           :      0.033u      0.033s      0.023w      1 calls
HF: Form G                          :     77.933u      0.467s      6.204w     11 calls
RV: Form V                          :     64.083u      0.283s      5.036w     11 calls
Properties                          :     20.511p                          43087 calls
Functional                          :      2.170p                          43087 calls
V_xc                                :     17.508p                          43087 calls
JK: D                               :      0.017u      0.000s      0.001w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     13.833u      0.167s      1.164w     11 calls
DFH: compute_JK()                   :     13.833u      0.167s      1.164w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     22 calls
DFH: compute_J                      :      1.200u      0.033s      0.101w     22 calls
DFH: compute_K                      :     12.600u      0.067s      0.994w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.483u      0.067s      0.271w     10 calls
HF: Form C                          :      0.400u      0.333s      0.253w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.400u      0.017s      0.302w      1 calls
| build grid                        :      2.267u      0.017s      0.216w      1 calls
| post-process grid                 :      0.133u      0.000s      0.086w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.019w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      1 calls
DFH: initialize()                   :      6.617u      0.533s      1.386w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      9 calls
| DFH: AO Construction              :      1.117u      0.000s      0.253w     22 calls
| DFH: AO-Met. Contraction          :      3.850u      0.400s      0.449w     22 calls
HF: Form core H                     :      0.067u      0.017s      0.008w      1 calls
HF: Form S/X                        :      0.033u      0.017s      0.019w      1 calls
HF: Guess                           :      0.033u      0.033s      0.025w      1 calls
| SAD Guess                         :      0.033u      0.033s      0.023w      1 calls
HF: Form G                          :     77.933u      0.467s      6.204w     11 calls
| RV: Form V                        :     64.083u      0.283s      5.036w     11 calls
| | Properties                      :     20.511p                          43087 calls
| | Functional                      :      2.170p                          43087 calls
| | V_xc                            :     17.508p                          43087 calls
| JK: D                             :      0.017u      0.000s      0.001w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     13.833u      0.167s      1.164w     11 calls
| | DFH: compute_JK()               :     13.833u      0.167s      1.164w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     22 calls
| | | DFH: compute_J                :      1.200u      0.033s      0.101w     22 calls
| | | DFH: compute_K                :     12.600u      0.067s      0.994w     22 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.483u      0.067s      0.271w     10 calls
HF: Form C                          :      0.400u      0.333s      0.253w     10 calls

**************************************************************************************
