
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:12:44 2026
Timers Off: Mon Aug 10 18:12:55 2026

Wall Time:       10.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.417u      0.017s      0.297w      1 calls
build grid                          :      2.283u      0.017s      0.211w      1 calls
post-process grid                   :      0.133u      0.000s      0.087w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.028w     10 calls
DFH: initialize()                   :      6.667u      0.500s      1.341w      1 calls
DFH: AO Construction                :      1.167u      0.033s      0.253w     22 calls
DFH: AO-Met. Contraction            :      3.967u      0.350s      0.461w     22 calls
HF: Form core H                     :      0.067u      0.000s      0.009w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.025w      1 calls
HF: Guess                           :      0.050u      0.067s      0.036w      1 calls
SAD Guess                           :      0.033u      0.067s      0.035w      1 calls
HF: Form G                          :     85.733u      0.433s      6.730w     11 calls
RV: Form V                          :     71.117u      0.233s      5.460w     11 calls
Properties                          :     22.261p                          42999 calls
Functional                          :      2.267p                          42999 calls
V_xc                                :     19.051p                          42999 calls
JK: D                               :      0.017u      0.000s      0.001w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     14.600u      0.183s      1.265w     11 calls
DFH: compute_JK()                   :     14.600u      0.183s      1.265w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     22 calls
DFH: compute_J                      :      1.233u      0.000s      0.108w     22 calls
DFH: compute_K                      :     13.333u      0.083s      1.078w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.567u      0.100s      0.328w     10 calls
HF: Form C                          :      0.467u      0.300s      0.263w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.417u      0.017s      0.297w      1 calls
| build grid                        :      2.283u      0.017s      0.211w      1 calls
| post-process grid                 :      0.133u      0.000s      0.087w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.014w      1 calls
DFH: initialize()                   :      6.667u      0.500s      1.341w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.014w      9 calls
| DFH: AO Construction              :      1.167u      0.033s      0.253w     22 calls
| DFH: AO-Met. Contraction          :      3.967u      0.350s      0.461w     22 calls
HF: Form core H                     :      0.067u      0.000s      0.009w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.025w      1 calls
HF: Guess                           :      0.050u      0.067s      0.036w      1 calls
| SAD Guess                         :      0.033u      0.067s      0.035w      1 calls
HF: Form G                          :     85.733u      0.433s      6.730w     11 calls
| RV: Form V                        :     71.117u      0.233s      5.460w     11 calls
| | Properties                      :     22.261p                          42999 calls
| | Functional                      :      2.267p                          42999 calls
| | V_xc                            :     19.051p                          42999 calls
| JK: D                             :      0.017u      0.000s      0.001w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     14.600u      0.183s      1.265w     11 calls
| | DFH: compute_JK()               :     14.600u      0.183s      1.265w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     22 calls
| | | DFH: compute_J                :      1.233u      0.000s      0.108w     22 calls
| | | DFH: compute_K                :     13.333u      0.083s      1.078w     22 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.567u      0.100s      0.328w     10 calls
HF: Form C                          :      0.467u      0.300s      0.263w     10 calls

**************************************************************************************
