
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 16:13:55 2026
Timers Off: Sun Aug  9 16:14:23 2026

Wall Time:       28.65 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.283u      0.017s      0.284w      1 calls
build grid                          :      2.150u      0.000s      0.197w      1 calls
post-process grid                   :      0.133u      0.017s      0.087w      1 calls
DFH: sparsity prep                  :      0.150u      0.000s      0.090w      1 calls
Libint2ERI::Libint2ERI              :      0.200u      0.000s      0.120w     10 calls
DFH: initialize()                   :     19.750u      2.283s      2.968w      1 calls
DFH: AO Construction                :      3.450u      0.033s      0.731w     30 calls
DFH: AO-Met. Contraction            :     14.683u      2.117s      1.580w     30 calls
HF: Form core H                     :      0.217u      0.000s      0.022w      1 calls
HF: Form S/X                        :      0.217u      0.083s      0.107w      1 calls
HF: Guess                           :      0.083u      0.050s      0.047w      1 calls
SAD Guess                           :      0.083u      0.050s      0.046w      1 calls
HF: Form G                          :    290.017u      0.833s     22.249w     11 calls
RV: Form V                          :    236.567u      0.483s     18.008w     11 calls
Properties                          :     77.626p                          43076 calls
Functional                          :      2.697p                          43076 calls
V_xc                                :     63.412p                          43076 calls
JK: D                               :      0.033u      0.000s      0.004w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     53.417u      0.333s      4.231w     11 calls
DFH: compute_JK()                   :     53.417u      0.333s      4.230w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     22 calls
DFH: compute_J                      :      4.250u      0.033s      0.331w     22 calls
DFH: compute_K                      :     49.100u      0.100s      3.731w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.017s      0.002w     11 calls
HF: Form D                          :      0.017u      0.000s      0.003w     11 calls
HF: DIIS                            :      1.300u      0.183s      0.472w     10 calls
HF: Form C                          :      2.567u      0.883s      1.271w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.283u      0.017s      0.284w      1 calls
| build grid                        :      2.150u      0.000s      0.197w      1 calls
| post-process grid                 :      0.133u      0.017s      0.087w      1 calls
DFH: sparsity prep                  :      0.150u      0.000s      0.090w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.060w      1 calls
DFH: initialize()                   :     19.750u      2.283s      2.968w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.060w      9 calls
| DFH: AO Construction              :      3.450u      0.033s      0.731w     30 calls
| DFH: AO-Met. Contraction          :     14.683u      2.117s      1.580w     30 calls
HF: Form core H                     :      0.217u      0.000s      0.022w      1 calls
HF: Form S/X                        :      0.217u      0.083s      0.107w      1 calls
HF: Guess                           :      0.083u      0.050s      0.047w      1 calls
| SAD Guess                         :      0.083u      0.050s      0.046w      1 calls
HF: Form G                          :    290.017u      0.833s     22.249w     11 calls
| RV: Form V                        :    236.567u      0.483s     18.008w     11 calls
| | Properties                      :     77.626p                          43076 calls
| | Functional                      :      2.697p                          43076 calls
| | V_xc                            :     63.412p                          43076 calls
| JK: D                             :      0.033u      0.000s      0.004w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     53.417u      0.333s      4.231w     11 calls
| | DFH: compute_JK()               :     53.417u      0.333s      4.230w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     22 calls
| | | DFH: compute_J                :      4.250u      0.033s      0.331w     22 calls
| | | DFH: compute_K                :     49.100u      0.100s      3.731w     22 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.017s      0.002w     11 calls
HF: Form D                          :      0.017u      0.000s      0.003w     11 calls
HF: DIIS                            :      1.300u      0.183s      0.472w     10 calls
HF: Form C                          :      2.567u      0.883s      1.271w     10 calls

**************************************************************************************
