
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 16:16:26 2026
Timers Off: Sun Aug  9 16:16:56 2026

Wall Time:       29.58 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.767u      0.000s      0.214w      1 calls
build grid                          :      1.650u      0.000s      0.140w      1 calls
post-process grid                   :      0.117u      0.000s      0.074w      1 calls
DFH: sparsity prep                  :      0.150u      0.017s      0.090w      1 calls
Libint2ERI::Libint2ERI              :      0.183u      0.033s      0.118w     10 calls
DFH: initialize()                   :     17.467u      3.250s      2.770w      1 calls
DFH: AO Construction                :      3.017u      0.033s      0.674w     31 calls
DFH: AO-Met. Contraction            :     12.917u      3.083s      1.490w     31 calls
HF: Form core H                     :      0.150u      0.017s      0.015w      1 calls
HF: Form S/X                        :      0.150u      0.050s      0.072w      1 calls
HF: Guess                           :      0.067u      0.050s      0.035w      1 calls
SAD Guess                           :      0.067u      0.050s      0.034w      1 calls
HF: Form G                          :    305.783u      0.817s     23.478w     12 calls
RV: Form V                          :    251.467u      0.467s     19.162w     12 calls
Properties                          :     80.629p                          43392 calls
Functional                          :      2.692p                          43392 calls
V_xc                                :     69.702p                          43392 calls
JK: D                               :      0.000u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     54.300u      0.350s      4.305w     12 calls
DFH: compute_JK()                   :     54.300u      0.350s      4.304w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      4.433u      0.017s      0.340w     24 calls
DFH: compute_K                      :     49.767u      0.083s      3.791w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.002w     12 calls
HF: Form D                          :      0.033u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.417u      0.200s      0.510w     11 calls
HF: Form C                          :      2.667u      0.950s      1.325w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.767u      0.000s      0.214w      1 calls
| build grid                        :      1.650u      0.000s      0.140w      1 calls
| post-process grid                 :      0.117u      0.000s      0.074w      1 calls
DFH: sparsity prep                  :      0.150u      0.017s      0.090w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.017s      0.059w      1 calls
DFH: initialize()                   :     17.467u      3.250s      2.770w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.017s      0.058w      9 calls
| DFH: AO Construction              :      3.017u      0.033s      0.674w     31 calls
| DFH: AO-Met. Contraction          :     12.917u      3.083s      1.490w     31 calls
HF: Form core H                     :      0.150u      0.017s      0.015w      1 calls
HF: Form S/X                        :      0.150u      0.050s      0.072w      1 calls
HF: Guess                           :      0.067u      0.050s      0.035w      1 calls
| SAD Guess                         :      0.067u      0.050s      0.034w      1 calls
HF: Form G                          :    305.783u      0.817s     23.478w     12 calls
| RV: Form V                        :    251.467u      0.467s     19.162w     12 calls
| | Properties                      :     80.629p                          43392 calls
| | Functional                      :      2.692p                          43392 calls
| | V_xc                            :     69.702p                          43392 calls
| JK: D                             :      0.000u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     54.300u      0.350s      4.305w     12 calls
| | DFH: compute_JK()               :     54.300u      0.350s      4.304w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      4.433u      0.017s      0.340w     24 calls
| | | DFH: compute_K                :     49.767u      0.083s      3.791w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.002w     12 calls
HF: Form D                          :      0.033u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.417u      0.200s      0.510w     11 calls
HF: Form C                          :      2.667u      0.950s      1.325w     11 calls

**************************************************************************************
